model,activation_power,N,columns,rcond,rank,coefficient_norm,budget,scalar_graph,tensor_graph
elasticity-2d,3,1000,5004,1e-06,2079,31.37716340604213,2219.5878046567527,0.00013462658493309398,0.0006923555197925176
elasticity-2d,3,1000,5004,1e-08,4159,121.1634558195867,8570.976459122336,0.00011055947455608037,0.0005952881917550496
elasticity-2d,3,1000,5004,1e-10,4749,4006.537891746537,283418.3105826367,0.00011250011026989819,0.0006734865434406887
elasticity-2d,3,1000,5004,1e-12,4863,162022.5806791435,11461308.324805135,0.00011213211173657029,0.001810151537360397
elasticity-2d,3,1000,5004,1e-14,4888,4099805.7894886765,290015984.36581117,0.00011233182333352807,0.06893847216990769
elasticity-2d,7,1000,5004,1e-06,185,11.961924911806165,846.174088807278,0.002979505186324942,0.010862102137321661
elasticity-2d,7,1000,5004,1e-08,355,16.810538491679925,1189.1599550602025,4.415417675307833e-05,9.50568216938949e-05
elasticity-2d,7,1000,5004,1e-10,835,19.891450161505443,1407.1004323773002,1.4921669314141994e-07,6.260072338519265e-07
elasticity-2d,7,1000,5004,1e-12,1952,21.626084822575184,1529.8066786182808,2.204336386096624e-09,9.156432600758506e-09
elasticity-2d,7,1000,5004,1e-14,3649,35.93742938399876,2542.1762623729314,3.913983098204916e-10,2.2915589806119775e-09
