model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
elasticity-3d,div_free,3,1,3,200,512,7,2.0,5.0,1.6666666666666667,1.3333333333333333,0.053005658632767065,0.876488285117546,0.0005744058504319779,0.6677071811436761,0.6677071811436761,0.23393642794162076,0.1863152247664903,1.7381352505416485,1.753807401482148,2.3036912045234725,11.3341279379531,70.47164823603816,2.1158741519142468,1.6748816113313059,1.5507036617168044,1.1487560681797
elasticity-3d,div_free,3,1,3,400,1000,7,2.0,5.0,1.6666666666666667,1.3333333333333333,0.013720136967794196,0.2769018505213874,8.113689785707449e-05,0.2204214357079954,0.2204214357079954,0.09173347747173587,0.07121061888653096,0.9605659535515213,0.964936258004331,2.3036912045234725,11.3341279379531,144.8332492620102,2.1158741519142468,1.6748816113313059,1.5507036617168044,1.1487560681797
elasticity-3d,div_free,3,1,3,500,1331,7,2.0,5.0,1.6666666666666667,1.3333333333333333,0.012315214587656054,0.25111817848578794,2.5038735191897236e-05,0.2126439871565128,0.2126439871565128,0.07871057399981626,0.06252582553053648,0.8825784203362547,0.8860812730797437,2.3036912045234725,11.3341279379531,180.55175443697954,2.1158741519142468,1.6748816113313059,1.5507036617168044,1.1487560681797
elasticity-3d,div_free,3,1,3,600,1331,7,2.0,5.0,1.6666666666666667,1.3333333333333333,0.005053520371567261,0.13232284497257968,2.5038735191897236e-05,0.1075606530353483,0.1075606530353483,0.0544572135513899,0.04590722748568774,0.6642587567297518,0.6664872721965043,2.3036912045234725,11.3341279379531,221.6597874769941,2.1158741519142468,1.6748816113313059,1.5507036617168044,1.1487560681797
elasticity-3d,div_free,3,1,3,800,1728,7,2.0,5.0,1.6666666666666667,1.3333333333333333,0.0031479156783897717,0.09231333289431756,7.096834452507309e-06,0.07489213939249753,0.07489213939249753,0.03134004791231737,0.024255171162576646,0.4041058135766407,0.4053192657271365,2.3036912045234725,11.3341279379531,334.60191063501406,2.1158741519142468,1.6748816113313059,1.5507036617168044,1.1487560681797
elasticity-3d,div_free,3,1,3,1000,2197,7,2.0,5.0,1.6666666666666667,1.3333333333333333,0.0017653016506789772,0.05814048804526043,2.5719405844906355e-06,0.04797123125597355,0.04797123125597355,0.018220706259296574,0.014177442611747377,0.26103754771724047,0.26167268763632584,2.3036912045234725,11.3341279379531,505.45939344598446,2.1158741519142468,1.6748816113313059,1.5507036617168044,1.1487560681797
elasticity-3d,div_free,3,1,5,200,512,7,2.0,7.0,2.3333333333333335,2.0,0.029010658109067698,0.5518630785932112,0.0005744058504319779,0.36687451563585305,0.36687451563585305,0.32262914750454363,0.20380070276699674,1.5644702034868063,1.5973905547540834,2.3036912045234725,11.3341279379531,60.965762035979424,3.3207661174938248,2.8894789383603268,2.9223686893713987,2.3969781237666976
elasticity-3d,div_free,3,1,5,400,1000,7,2.0,7.0,2.3333333333333335,2.0,0.005691498753917805,0.12851144227580746,8.11368978570811e-05,0.09640592864853055,0.09640592864853055,0.057782863903299855,0.033436895344008684,0.37939257827869877,0.38376762215411797,2.3036912045234725,11.3341279379531,128.15607988799457,3.3207661174938248,2.8894789383603268,2.9223686893713987,2.3969781237666976
elasticity-3d,div_free,3,1,5,500,1331,7,2.0,7.0,2.3333333333333335,2.0,0.0044026416566808075,0.09844147212795533,2.5038735191898425e-05,0.08066474598170294,0.08066474598170294,0.030869816270768975,0.020198880332788667,0.2850316413941821,0.2866984167247051,2.3036912045234725,11.3341279379531,164.66572566400282,3.3207661174938248,2.8894789383603268,2.9223686893713987,2.3969781237666976
elasticity-3d,div_free,3,1,5,600,1331,7,2.0,7.0,2.3333333333333335,2.0,0.0013682796432736683,0.03845086996145688,2.5038735191898425e-05,0.029569045088652966,0.029569045088652966,0.015829699898001284,0.012587082386761123,0.1840172878780428,0.18469689124847571,2.3036912045234725,11.3341279379531,204.91738066804828,3.3207661174938248,2.8894789383603268,2.9223686893713987,2.3969781237666976
