model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
plane-stress,default,2,1,3,200,441,7,2.0,4.5,2.25,1.75,2.651565347030116e-05,0.001357107941472901,9.568058532794189e-11,0.00126168434574241,0.00126168434574241,0.00026893129637131164,0.00024025622655638352,0.009743836642284986,0.009747547207051808,2.2836308025822403,15.00403549730772,11.320916311000474,1.954563607835796,1.5515360390244046,2.257370491600321,1.7640018597148874
plane-stress,default,2,1,3,400,841,7,2.0,4.5,2.25,1.75,6.94423903777565e-06,0.0004869415371281893,5.465926111765658e-12,0.0004555180499074687,0.0004555180499074687,5.734659810818624e-05,5.007033556869377e-05,0.002875332944378191,0.0028759047573487444,2.2836308025822403,15.00403549730772,18.69048996499623,1.954563607835796,1.5515360390244046,2.257370491600321,1.7640018597148874
plane-stress,default,2,1,3,600,1225,7,2.0,4.5,2.25,1.75,3.0004530441129504e-06,0.0002457803262154875,1.1402606811211026e-12,0.00023010992126545722,0.00023010992126545722,2.3762099040552395e-05,2.112064541781428e-05,0.0014682424815534317,0.001468434752377167,2.2836308025822403,15.00403549730772,26.94714097600081,1.954563607835796,1.5515360390244046,2.257370491600321,1.7640018597148874
plane-stress,default,2,1,3,800,1681,7,2.0,4.5,2.25,1.75,1.8815616887162266e-06,0.00016591436364239056,3.166995165206035e-13,0.00015706040607604575,0.00015706040607604575,1.2078814367241707e-05,1.041430065985211e-05,0.000831982629464848,0.0008320703056159142,2.2836308025822403,15.00403549730772,44.23245364500326,1.954563607835796,1.5515360390244046,2.257370491600321,1.7640018597148874
plane-stress,default,2,1,3,1000,2025,7,2.0,4.5,2.25,1.75,1.1083146908822983e-06,0.00011049633112145902,1.6201773031934682e-13,0.00010248244970937743,0.00010248244970937743,2.285070723399558e-05,6.3133537978944486e-06,0.0005702827644023036,0.0005707403842338713,2.2836308025822403,15.00403549730772,55.601859275004244,1.954563607835796,1.5515360390244046,2.257370491600321,1.7640018597148874
plane-stress,default,2,1,5,200,441,7,2.0,6.5,3.25,2.75,4.5095964383710883e-07,2.0555218770691506e-05,9.568058532794189e-11,1.9769044027116774e-05,1.9769044027116774e-05,6.722309391808435e-06,3.0964646138554992e-06,0.00011437065170993151,0.00011456803837071514,2.2836308025822403,15.00403549730772,9.343015757011017,3.3773877475796605,2.835629497872631,3.4759010767802576,2.958021163964503
plane-stress,default,2,1,5,400,841,7,2.0,6.5,3.25,2.75,3.987078277176625e-08,2.571779487749056e-06,5.4659259121946395e-12,2.5018803115735124e-06,2.5018803115735124e-06,3.24125584010232e-07,2.7650030642844247e-07,1.4139650820304354e-05,1.4143365324926863e-05,2.2836308025822403,15.00403549730772,19.020825779007282,3.3773877475796605,2.835629497872631,3.4759010767802576,2.958021163964503
plane-stress,default,2,1,5,600,1225,7,2.0,6.5,3.25,2.75,9.672576959802858e-09,8.120858025657073e-07,1.1402706692883075e-12,7.698756692200503e-07,7.698756692200503e-07,1.486041467124846e-07,7.064917905782331e-08,4.519835569942487e-06,4.522277830003092e-06,2.2836308025822403,15.00403549730772,27.761867560009705,3.3773877475796605,2.835629497872631,3.4759010767802576,2.958021163964503
plane-stress,default,2,1,5,800,1681,7,2.0,6.5,3.25,2.75,5.367572241678669e-09,5.094155587890661e-07,3.166995165206035e-13,4.799258165604542e-07,4.799258165604542e-07,4.3669997892986605e-08,2.6091041600338034e-08,1.9767313067687602e-06,1.977213627273417e-06,2.2836308025822403,15.00403549730772,44.633312784993905,3.3773877475796605,2.835629497872631,3.4759010767802576,2.958021163964503
plane-stress,default,2,1,5,1000,2025,7,2.0,6.5,3.25,2.75,1.6564994411118662e-09,1.799839031088894e-07,1.6201773031934682e-13,1.7403410607396987e-07,1.7403410607396987e-07,2.985109051907466e-08,1.1079260274678762e-08,9.34393438768832e-07,9.3487014393413e-07,2.2836308025822403,15.00403549730772,57.166390343001694,3.3773877475796605,2.835629497872631,3.4759010767802576,2.958021163964503
