model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
plate,trig,2,2,3,200,441,7,2.0,4.5,2.25,1.25,0.00018676394988408843,0.39624545129558636,5.321718100317537e-07,0.3001247060261754,0.3001247060261754,0.0017904008443185818,0.0013997268944605159,2.1232072267111075,2.1232079815914067,13.202561719602466,9568.672241086171,15.647964150994085,2.2823918387143434,1.2357928135077902,2.2872504345087337,1.2194886337025295
plate,trig,2,2,3,400,841,7,2.0,4.5,2.25,1.25,3.434617071182021e-05,0.16684402370185844,5.615576186714845e-08,0.13779982278481182,0.13779982278481182,0.0003375041210066662,0.00025600327862662783,0.9263741399271367,0.9263742014082504,13.202561719602466,9568.672241086171,25.81156596299843,2.2823918387143434,1.2357928135077902,2.2872504345087337,1.2194886337025295
plate,trig,2,2,3,600,1225,7,2.0,4.5,2.25,1.25,1.485861761026811e-05,0.10198809341601985,1.598064567133973e-08,0.08567833808433142,0.08567833808433142,0.0001442387891995433,0.00011084476502989064,0.5619755165097332,0.5619755350201731,13.202561719602466,9568.672241086171,39.482061194998096,2.2823918387143434,1.2357928135077902,2.2872504345087337,1.2194886337025295
plate,trig,2,2,3,800,1681,7,2.0,4.5,2.25,1.25,7.833264391867926e-06,0.07183135649944887,5.644892973453716e-09,0.061480715726697395,0.061480715726697395,7.742691653537787e-05,5.8549847146195944e-05,0.3881606449598384,0.38816065268206296,13.202561719602466,9568.672241086171,57.313958740996895,2.2823918387143434,1.2357928135077902,2.2872504345087337,1.2194886337025295
plate,trig,2,2,3,1000,2025,7,2.0,4.5,2.25,1.25,4.5784342370754356e-06,0.05383942078001903,2.3443911237865876e-09,0.044979395034858816,0.044979395034858816,0.048625883297105835,3.3921561673721784e-05,0.29727885299493556,0.3012294689508453,13.202561719602466,9568.672241086171,70.41641488300229,2.2823918387143434,1.2357928135077902,2.2872504345087337,1.2194886337025295
plate,trig,2,2,5,200,441,7,2.0,6.5,3.25,2.25,1.2355692798845076e-05,0.022548010294997346,5.321718100317537e-07,0.019367777367595228,0.019367777367595228,0.0037030194194444185,9.141648820146838e-05,0.12574375706467322,0.12579827023278317,13.202561719602466,9568.672241086171,11.551560114006861,3.6320852564793378,2.5149520581462603,3.624952405983537,2.45624750607591
plate,trig,2,2,5,400,841,7,2.0,6.5,3.25,2.25,9.217465492774449e-07,0.003558654045979031,5.615576191378959e-08,0.003086737800824723,0.003086737800824723,2.577110705964211e-05,6.854958139082245e-06,0.021030304255385837,0.021030320045687816,13.202561719602466,9568.672241086171,23.230328888006625,3.6320852564793378,2.5149520581462603,3.624952405983537,2.45624750607591
plate,trig,2,2,5,600,1225,7,2.0,6.5,3.25,2.25,1.967599138251169e-07,0.0012649287448955335,1.5980645965334894e-08,0.0011257016630076935,0.0011257016630076935,0.0001393463611692942,1.4651036183112975e-06,0.007702919367558406,0.0077041796572690025,13.202561719602466,9568.672241086171,38.64286197900947,3.6320852564793378,2.5149520581462603,3.624952405983537,2.45624750607591
plate,trig,2,2,5,800,1681,7,2.0,6.5,3.25,2.25,9.183658506598619e-08,0.0007890083850581759,5.644892973453716e-09,0.0006364166846500284,0.0006364166846500284,0.00012278998481403993,6.825153171717677e-07,0.004525189613031127,0.004526855245560148,13.202561719602466,9568.672241086171,54.428765893986565,3.6320852564793378,2.5149520581462603,3.624952405983537,2.45624750607591
plate,trig,2,2,5,1000,2025,7,2.0,6.5,3.25,2.25,3.27644599089347e-08,0.0003547476841351673,2.344391134593719e-09,0.00032680355753018914,0.00032680355753018914,0.00011192365062118227,2.4618819413659515e-07,0.002254375011260563,0.00225715165528691,13.202561719602466,9568.672241086171,74.95005144999595,3.6320852564793378,2.5149520581462603,3.624952405983537,2.45624750607591
