model,study,algorithm,N,activation_power,metric,measured,floor,ratio
elasticity-2d,order-k3,ball,200,3.0,u_h1_error,0.0017763712803685508,0.001261684345742239,1.407936372011912
elasticity-2d,order-k3,ball,200,3.0,sigma_hdiv_error,0.017065080528507536,0.00974754720704208,1.750705091859307
elasticity-2d,order-k3,ball,400,3.0,u_h1_error,0.0006137568130383053,0.000455518049908237,1.3473819822550284
elasticity-2d,order-k3,ball,400,3.0,sigma_hdiv_error,0.004245249093043766,0.0028759047573674724,1.476143840357827
elasticity-2d,order-k3,ball,600,3.0,u_h1_error,0.0003093124651264897,0.00023010992127288018,1.3441943894269803
elasticity-2d,order-k3,ball,600,3.0,sigma_hdiv_error,0.00210068864705082,0.0014684347523476712,1.4305631514729054
elasticity-2d,order-k3,ball,800,3.0,u_h1_error,0.00022584779983300107,0.0001570604053365467,1.4379677637343273
elasticity-2d,order-k3,ball,800,3.0,sigma_hdiv_error,0.0011499987773997346,0.0008320703056198835,1.3820932794170533
elasticity-2d,order-k3,ball,1000,3.0,u_h1_error,0.00014818393431751002,0.00010248246219039215,1.4459443220852128
elasticity-2d,order-k3,ball,1000,3.0,sigma_hdiv_error,0.0007775937367578385,0.0005707354278191296,1.3624416828812385
plate,order-k3,ball,200,3.0,w_h2_error,0.3683175723678377,0.3001247060261754,1.227215104163117
plate,order-k3,ball,200,3.0,M_hdivdiv_error,2.456945137186238,2.1232079815914067,1.1571853339326115
plate,order-k3,ball,400,3.0,w_h2_error,0.16145322433509152,0.13779982278481182,1.1716504497049816
plate,order-k3,ball,400,3.0,M_hdivdiv_error,1.0585873098333243,0.9263742014082504,1.142721060478678
plate,order-k3,ball,600,3.0,w_h2_error,0.09696517900302029,0.08567833808433142,1.131735058954802
plate,order-k3,ball,600,3.0,M_hdivdiv_error,0.6513641651237017,0.5619755350201731,1.1590614262243992
plate,order-k3,ball,800,3.0,w_h2_error,0.07000421463119025,0.061480715726697395,1.1386369498751885
plate,order-k3,ball,800,3.0,M_hdivdiv_error,0.45239211405196145,0.38816065268206296,1.1654764874442582
plate,order-k3,ball,1000,3.0,w_h2_error,0.051641544674354355,0.044979395034858816,1.1481155901348252
plate,order-k3,ball,1000,3.0,M_hdivdiv_error,0.33602514359187574,0.3012294689508453,1.1155121866470123
