model,study,algorithm,N,activation_power,metric,measured,floor,ratio
elasticity-2d,order,ball,200,7.0,u_h1_error,6.410334653681626e-07,3.504463723429123e-07,1.8291913284264516
elasticity-2d,order,ball,200,7.0,sigma_hdiv_error,3.5562807901729228e-06,2.2310201798066557e-06,1.5940155191608876
elasticity-2d,order,ball,400,7.0,u_h1_error,3.757973590720459e-08,2.3365102623313825e-08,1.6083702482739077
elasticity-2d,order,ball,400,7.0,sigma_hdiv_error,1.759596136432039e-07,1.0904313787266349e-07,1.613669755621697
elasticity-2d,order,ball,600,7.0,u_h1_error,1.1322374768872905e-08,4.946769570114865e-09,2.288842164242956
elasticity-2d,order,ball,600,7.0,sigma_hdiv_error,5.217952355616573e-08,2.636514937118805e-08,1.9791097263111939
elasticity-2d,order,ball,800,7.0,u_h1_error,4.258882857392626e-09,1.971309704605273e-09,2.1604331614881422
elasticity-2d,order,ball,800,7.0,sigma_hdiv_error,1.0112045137465446e-08,6.800767175967177e-09,1.4868977095995575
elasticity-2d,order,ball,1000,7.0,u_h1_error,5.792314204444197e-10,3.537452054856825e-10,1.6374255013552788
elasticity-2d,order,ball,1000,7.0,sigma_hdiv_error,2.790961654481569e-09,2.12500113132568e-09,1.31339302052062
elasticity-3d,order,ball,200,7.0,u_h1_error,0.5102051162526763,0.3324246439796225,1.5347993161540443
elasticity-3d,order,ball,200,7.0,sigma_hdiv_error,3.341992911323227,1.9636264725362578,1.7019494074179213
elasticity-3d,order,ball,400,7.0,u_h1_error,0.20985337116058553,0.09174918409308426,2.2872505432601833
elasticity-3d,order,ball,400,7.0,sigma_hdiv_error,1.1961737134288621,0.48492373440419917,2.46672544271016
elasticity-3d,order,ball,600,7.0,u_h1_error,0.07388605478370451,0.022836520818624917,3.2354339511929866
elasticity-3d,order,ball,600,7.0,sigma_hdiv_error,0.2776186987724836,0.06782564986794355,4.093122576975035
elasticity-3d,order,ball,800,7.0,u_h1_error,0.012316515842897334,0.004536922889797191,2.7147289345814523
elasticity-3d,order,ball,800,7.0,sigma_hdiv_error,0.14214226570263094,0.020789713876145897,6.83714391402591
elasticity-3d,order,ball,1000,7.0,u_h1_error,0.006280084030299267,0.003165033292636836,1.9842078896640092
elasticity-3d,order,ball,1000,7.0,sigma_hdiv_error,0.1092045740056489,0.01540539642904962,7.088722092196486
plane-stress,order,ball,200,7.0,u_h1_error,6.415693574134268e-07,3.5044637302457385e-07,1.8307204947686502
plane-stress,order,ball,200,7.0,sigma_hdiv_error,2.8187618226556393e-06,2.2310212010813127e-06,1.2634401776592108
plane-stress,order,ball,400,7.0,u_h1_error,3.7924940975652834e-08,2.33651004265117e-08,1.6231447878828933
plane-stress,order,ball,400,7.0,sigma_hdiv_error,1.410054401120612e-07,1.0902370354863799e-07,1.293346634928389
plane-stress,order,ball,600,7.0,u_h1_error,1.1525677105966672e-08,4.9467693720368265e-09,2.329940257801222
plane-stress,order,ball,600,7.0,sigma_hdiv_error,4.2583173600485324e-08,2.6349074512338347e-08,1.6161164818348788
plane-stress,order,ball,800,7.0,u_h1_error,4.2559464055989304e-09,1.9715799563178404e-09,2.1586476328088744
plane-stress,order,ball,800,7.0,sigma_hdiv_error,7.81662515201025e-09,6.809973983664412e-09,1.1478201195423896
plane-stress,order,ball,1000,7.0,u_h1_error,5.784932496684202e-10,3.537495171584935e-10,1.6353188389207973
plane-stress,order,ball,1000,7.0,sigma_hdiv_error,2.1496049456866762e-09,2.123140872891827e-09,1.0124645863742447
plate,order,ball,200,7.0,w_h2_error,0.0021820737994175596,0.001603619779713574,1.3607176882086753
plate,order,ball,200,7.0,M_hdivdiv_error,0.01444808067905055,0.011501157329215852,1.2562284181913386
plate,order,ball,400,7.0,w_h2_error,0.00011260169581885425,8.931274441385193e-05,1.2607573147353686
plate,order,ball,400,7.0,M_hdivdiv_error,0.0007894852623449584,0.000644727927266252,1.224524685463061
plate,order,ball,600,7.0,w_h2_error,4.228771013375708e-05,2.1101589122213008e-05,2.0040059489757613
plate,order,ball,600,7.0,M_hdivdiv_error,0.00025969392384524284,0.00016847941778475771,1.5413985118171347
plate,order,ball,800,7.0,w_h2_error,1.2539444397054433e-05,7.452143546197443e-06,1.6826627559332046
plate,order,ball,800,7.0,M_hdivdiv_error,7.92086662931608e-05,5.68203691479639e-05,1.3940188612097244
plate,order,ball,1000,7.0,w_h2_error,3.212320624308498e-06,2.545488554453707e-06,1.2619662416820023
plate,order,ball,1000,7.0,M_hdivdiv_error,2.222733693285931e-05,1.8241354597672562e-05,1.2185135053344847
