problem,N,DOF,Q_train,Q_test,gamma,feature_family,solver,rcond,u_or_deflection_error,stress_or_moment_error,error_kind,rank,columns,time_seconds
plate-bending,200,804,4096,16384,2.0,constant+random-tanh,GELSD,1e-14,6.883411974678541e-08,1.2299481415933422e-05,relative-L2,752,804,0.3161433049972402
plate-bending,400,1604,4096,16384,2.0,constant+random-tanh,GELSD,1e-14,3.455493124324148e-10,8.232415881048912e-08,relative-L2,1151,1604,1.4076891520016943
plate-bending,600,2404,4096,16384,2.0,constant+random-tanh,GELSD,1e-14,6.084779603409365e-11,1.4876934961413633e-08,relative-L2,1284,2404,3.7318998130031105
plate-bending,800,3204,4096,16384,2.0,constant+random-tanh,GELSD,1e-14,2.6499964172596703e-11,6.947951593281851e-09,relative-L2,1335,3204,6.90201921300104
plate-bending,1000,4004,4096,16384,2.0,constant+random-tanh,GELSD,1e-14,2.3707919535787878e-11,4.9171401747749555e-09,relative-L2,1351,4004,13.170492591998482
linear-elasticity-2d,200,1004,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,6.126508485728429e-07,6.304412487839032e-05,absolute-L2,1004,1004,0.4884716579981614
linear-elasticity-2d,400,2004,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,1.110262069333784e-09,1.767905452202897e-07,absolute-L2,2004,2004,1.8253757409984246
linear-elasticity-2d,600,3004,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,1.8271887263484473e-11,3.5146660474046354e-09,absolute-L2,2999,3004,5.666488221999316
linear-elasticity-2d,800,4004,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,8.777537862064305e-13,2.0710800614833015e-10,absolute-L2,3829,4004,11.960531507000269
linear-elasticity-2d,1000,5004,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,2.1173576288972573e-13,3.417423985227297e-11,absolute-L2,4309,5004,20.822636158998648
plane-stress,200,1005,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,6.126508489914569e-07,6.304412487987277e-05,absolute-L2,1005,1005,0.4794580669986317
plane-stress,400,2005,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,1.1102619706229726e-09,1.767905564667326e-07,absolute-L2,2005,2005,1.6356949809996877
plane-stress,600,3005,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,1.814098343336834e-11,3.5042042661813204e-09,absolute-L2,3000,3005,4.293284907002089
plane-stress,800,4005,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,1.1498506241887535e-12,1.9906905869995845e-10,absolute-L2,3836,4005,10.082650914002443
plane-stress,1000,5005,4096,16384,3.0,constant+random-tanh,GELSD,1e-14,1.6271939351289344e-13,2.9829679535868284e-11,absolute-L2,4319,5005,21.039368459001707
linear-elasticity-3d-hu-zhang,200,1808,4096,8000,2.0,constant+random-tanh,GELSD,1e-14,4.959673672305105e-04,2.6903550553075424e-02,absolute-L2,1808,1808,2.211219685999822
linear-elasticity-3d-hu-zhang,400,3608,4096,8000,2.0,constant+random-tanh,GELSD,1e-14,2.2212419499585412e-05,1.5131986083916095e-03,absolute-L2,3608,3608,10.1101097819992
linear-elasticity-3d-div-free,200,1808,4096,8000,2.0,constant+random-tanh,GELSD,1e-14,9.185943613423897e-03,2.597886428353899e-01,absolute-L2,1808,1808,2.29856097299853
