model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,u_l2_error,sigma_l2_error,wall_time,rank,columns,condition_estimate,u_h1_error,sigma_hdiv_error,constitutive_residual,equilibrium_residual,coefficient_ball_active,trace_residual,continuous_trace_mean,sigma_deviatoric_l2_error,sigma_hydrostatic_l2_error,u_h1_exact_norm,sigma_hdiv_exact_norm,relative_u_h1_error,relative_sigma_hdiv_error,coefficient_norm,algorithm,hyperparameter,study,configuration
elasticity-2d,0,400,1604,441,7,7,1.0,12808,2.728567375439961e-15,0.0,1.5305354462396174e-07,"{""100.0"": 1.8536449646410762, ""1000.0"": 0.0004212212776663216, ""10000.0"": 1.5305354462396174e-07, ""100000.0"": 1.7336034170121925e-07, ""1000000.0"": 1.7336034170121925e-07, ""inf"": 1.7336034170121925e-07}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.765802748233334e-10,2.1018747889625704e-08,1.2488399950088933,1627,2004,99750664828993.08,3.256843304369183e-08,1.4965804868797444e-07,3.0591297349089804e-08,1.481747069315289e-07,True,2.1316282072803006e-14,-4.736662451154672e-15,1.4471287270983703e-08,1.5243674346046297e-08,2.2836308025822403,15.004035497307717,1.426168932686699e-08,9.974519769353297e-09,223.38624422246497,ball,10000.0,k,Kratio-1
elasticity-2d,0,400,1604,441,7,7,1.0,12808,2.728567375439961e-15,0.0,1.5746386186773714e-07,"{""1e-05"": 0.1494612069829826, ""1e-06"": 0.011156598456160167, ""1e-08"": 0.0001602875071911211, ""1e-10"": 3.943161872614802e-06, ""1e-12"": 1.5746386186773714e-07, ""1e-14"": 1.7097625904901554e-07}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),6.720370659924271e-10,4.252929873308998e-08,0.608278664003592,1276,2004,994196178795.1133,3.198006333317239e-08,1.5418308386005638e-07,4.1681486008306624e-08,1.4820149155075588e-07,True,0.0,-5.290906601729262e-16,3.142655816005013e-08,2.865506400169778e-08,2.2836308025822403,15.004035497307717,1.4004042727489307e-08,1.0276107643688431e-08,39.11203783263414,ridge,1e-12,k,Kratio-1
elasticity-2d,0,400,1604,441,7,7,1.0,12808,2.728567375439961e-15,0.0,1.6436808429776773e-07,"{""1e-06"": 0.011855770886415257, ""1e-08"": 0.00016874046551578097, ""1e-10"": 3.6601057684824916e-06, ""1e-12"": 1.6436808429776773e-07, ""1e-14"": 1.7336034170121925e-07}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),7.364129669678605e-10,3.328729212932099e-08,0.6142236110172234,1276,2004,994196178795.1133,3.648176171791367e-08,1.6029120855885214e-07,3.9409991378323025e-08,1.5679677204571108e-07,False,1.4210854715202004e-14,-1.0277369233424594e-14,2.493633138199537e-08,2.2050469258273577e-08,2.2836308025822403,15.004035497307717,1.597533264863196e-08,1.0683206433870032e-08,41.049745117964896,tsvd,1e-12,k,Kratio-1
elasticity-2d,1,400,1604,441,7,7,1.0,12808,2.7994747625360182e-15,0.0,1.889421423661409e-07,"{""100.0"": 1.856511063317882, ""1000.0"": 0.00044521825467654043, ""10000.0"": 1.889421423661409e-07, ""100000.0"": 2.1147203988252525e-07, ""1000000.0"": 2.1147203988252525e-07, ""inf"": 2.1147203988252525e-07}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.34567487505302e-10,1.4902629328487915e-08,1.2327619639982004,1624,2004,98125135648708.22,3.156650131999068e-08,1.862834549747902e-07,2.99048845708681e-08,1.856863948609116e-07,True,3.197442310920451e-14,1.747733902046633e-14,1.1935281613782696e-08,8.92397970089628e-09,2.2836308025822403,15.004035497307717,1.3822944271156493e-08,1.241555680191615e-08,223.39407226355985,ball,10000.0,k,Kratio-1
elasticity-2d,1,400,1604,441,7,7,1.0,12808,2.7994747625360182e-15,0.0,1.878787972879621e-07,"{""1e-05"": 0.16207637267234887, ""1e-06"": 0.011567271946238154, ""1e-08"": 0.00019064385856618787, ""1e-10"": 4.495613825526218e-06, ""1e-12"": 1.878787972879621e-07, ""1e-14"": 1.9547632861325037e-07}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),5.734156156180861e-10,4.2123743379755835e-08,0.6183174590114504,1273,2004,999147665510.3097,2.866750948399327e-08,1.857374148913757e-07,4.2869704189083526e-08,1.8089769908489025e-07,True,7.105427357601002e-15,-3.241330814862664e-15,3.2930923187857876e-08,2.6267166849870358e-08,2.2836308025822403,15.004035497307717,1.2553478194276051e-08,1.237916392058016e-08,39.29272476946865,ridge,1e-12,k,Kratio-1
elasticity-2d,1,400,1604,441,7,7,1.0,12808,2.7994747625360182e-15,0.0,1.9360236923358186e-07,"{""1e-06"": 0.012097280760855552, ""1e-08"": 0.00020714147768020668, ""1e-10"": 4.192975752683111e-06, ""1e-12"": 1.9360236923358186e-07, ""1e-14"": 2.1147203988252525e-07}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),7.44763545711281e-10,3.6131467519819045e-08,0.6240721690119244,1273,2004,999147665510.3097,3.864570393180091e-08,1.8972526477098566e-07,4.478187751508986e-08,1.8625303526999198e-07,False,0.0,-8.506216564452274e-15,2.995187959790415e-08,2.0208113560854506e-08,2.2836308025822403,15.004035497307717,1.692292111671548e-08,1.26449490742027e-08,41.312990792978745,tsvd,1e-12,k,Kratio-1
elasticity-2d,2,400,1604,441,7,7,1.0,12808,2.7006113077902895e-15,0.0,1.8648784317307182e-07,"{""100.0"": 1.8503076055715932, ""1000.0"": 0.00041590760765183144, ""10000.0"": 1.8648784317307182e-07, ""100000.0"": 1.8682032609325281e-07, ""1000000.0"": 1.8682032609325281e-07, ""inf"": 1.8682032609325281e-07}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),7.101434118601159e-10,1.8034842303041024e-08,1.2413767779944465,1618,2004,99408906674931.25,3.411551329068808e-08,1.8336253823778456e-07,3.191246913043329e-08,1.824734635285565e-07,True,3.197442310920451e-14,-2.4185514702068645e-14,1.3582763878810535e-08,1.1864403158525833e-08,2.2836308025822403,15.004035497307717,1.4939154460568492e-08,1.2220881393588187e-08,223.3574776880442,ball,10000.0,k,Kratio-1
elasticity-2d,2,400,1604,441,7,7,1.0,12808,2.7006113077902895e-15,0.0,1.841886868908431e-07,"{""1e-05"": 0.1559822738144128, ""1e-06"": 0.011428014667605317, ""1e-08"": 0.00016052419942909482, ""1e-10"": 2.5995287871090654e-06, ""1e-12"": 1.84452832017959e-07, ""1e-14"": 1.841886868908431e-07}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),6.413166439328224e-10,1.7360459392199265e-08,0.6276031209854409,1618,2004,99408906674931.25,3.3160510679079057e-08,1.8088468951677984e-07,3.13189622219984e-08,1.8004967467694474e-07,True,0.0,-2.6595912971938418e-14,1.3048055918697218e-08,1.1451366165255139e-08,2.2836308025822403,15.004035497307717,1.4520959623413053e-08,1.2055735908465245e-08,460.36938828818677,ridge,1e-14,k,Kratio-1
elasticity-2d,2,400,1604,441,7,7,1.0,12808,2.7006113077902895e-15,0.0,1.8682032609325281e-07,"{""1e-06"": 0.012376078054608431, ""1e-08"": 0.00020057135542197148, ""1e-10"": 2.2300689561997868e-06, ""1e-12"": 1.8714324534531163e-07, ""1e-14"": 1.8682032609325281e-07}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),6.546958075741114e-10,2.0960347473785916e-08,0.6337681389995851,1618,2004,99408906674931.25,3.4300905487561975e-08,1.8331068553124907e-07,3.344223375503987e-08,1.821084052527907e-07,False,2.842170943040401e-14,1.263225635206311e-14,1.6110339384427725e-08,1.3408696101426136e-08,2.2836308025822403,15.004035497307717,1.5020337547021987e-08,1.2217425476242165e-08,425.7947903721447,tsvd,1e-14,k,Kratio-1
elasticity-2d,3,400,1604,441,7,7,1.0,12808,2.4580884361078056e-15,0.0,2.0130364082781444e-07,"{""100.0"": 1.8630656979818, ""1000.0"": 0.00041225600703705627, ""10000.0"": 2.0130364082781444e-07, ""100000.0"": 2.3346596958695053e-07, ""1000000.0"": 2.3346596958695053e-07, ""inf"": 2.3346596958695053e-07}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),9.196587382401832e-10,4.3417045296171173e-08,1.2180199320137035,1614,2004,99568063008550.58,5.805931663484468e-08,1.925869684909452e-07,6.165487341793882e-08,1.876291571432397e-07,True,8.171241461241152e-14,1.8541591872978103e-14,3.481551946143323e-08,2.5940690562904127e-08,2.2836308025822403,15.004035497307717,2.5424125725223832e-08,1.2835678009792932e-08,223.3859461692968,ball,10000.0,k,Kratio-1
