study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,lambda,E,nu,mu,fixed_budget,repeats,hyperparameters,material_lambda_mean,material_lambda_std,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,validation_points_mean,validation_points_std,test_points_mean,test_points_std,test_residual_mean,test_residual_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,u_l2_error_mean,u_l2_error_std,sigma_l2_error_mean,sigma_l2_error_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,u_h1_error_mean,u_h1_error_std,sigma_hdiv_error_mean,sigma_hdiv_error_std,constitutive_residual_mean,constitutive_residual_std,equilibrium_residual_mean,equilibrium_residual_std,coefficient_ball_active_mean,coefficient_ball_active_std,trace_residual_mean,trace_residual_std,continuous_trace_mean_mean,continuous_trace_mean_std,sigma_deviatoric_l2_error_mean,sigma_deviatoric_l2_error_std,sigma_hydrostatic_l2_error_mean,sigma_hydrostatic_l2_error_std,u_h1_exact_norm_mean,u_h1_exact_norm_std,sigma_hdiv_exact_norm_mean,sigma_hdiv_exact_norm_std,relative_u_h1_error_mean,relative_u_h1_error_std,relative_sigma_hdiv_error_mean,relative_sigma_hdiv_error_std,coefficient_norm_mean,coefficient_norm_std
near-incompressible,elasticity-2d,N-200-lambda-10,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,200,1608,441,10.0,2.909090909090909,0.45454545454545453,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",9.999999999999996,0.0,2.0,0.0,12808.0,0.0,1.1834772155522229e-14,2.6380105201886142e-15,0.0,0.0,0.0026136817064325952,3.5819980808450174e-05,4096.0,0.0,16384.0,0.0,0.0025668393233586628,2.984944426217807e-05,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,9.022532929258264e-06,4.7033753435143346e-07,0.00047222944564336065,5.392852325374203e-05,0.23266914900013944,0.015819657604907195,913.1,5.130518708885313,1004.0,0.0,94996825475231.78,4765743379390.122,0.0003393512288029207,2.9438000165221503e-05,0.0025914252304064804,3.435763592898505e-05,0.00031269809915550426,2.899962235511441e-05,0.0025475899500277508,2.8175390087285814e-05,1.0,0.0,2.7648638933897017e-11,2.2175429720009482e-11,-5.767164523717838e-12,2.2184917774204405e-11,0.00033272468150407784,3.6391347033872767e-05,0.00033448366175595386,4.522997533869381e-05,8.974549259915005,0.0,70.4294872967736,1.4979556132593925e-14,3.781262088767393e-05,3.2801647539789976e-06,3.679460592247125e-05,4.878302717753717e-07,94679.160515519,0.0010421551093073866
near-incompressible,elasticity-2d,N-200-lambda-1000,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,200,1608,441,1000.0,2.999000999000999,0.4995004995004995,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",1000.000000000034,1.198364490607514e-13,2.0,0.0,12808.0,0.0,1.1834772155522229e-14,2.6380105201886142e-15,0.0,0.0,0.00262263655567888,3.483778623164341e-05,4096.0,0.0,16384.0,0.0,0.002566425672196228,2.943890765210912e-05,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,9.355287011017686e-06,5.487174416631578e-07,0.0005173975615008065,5.571524877670518e-05,0.23517273429897614,0.010456926796424345,912.7,5.143496432929215,1004.0,0.0,94920143787300.4,4479274066746.824,0.00034322030252578,2.531908598546378e-05,0.0025999820358642268,3.38392359590594e-05,0.0003103985228113858,2.4274075801164036e-05,0.00254749443766304,2.819091057647518e-05,1.0,0.0,2.6193447411060334e-11,3.0524354898666254e-11,1.1409906353065935e-11,3.269553871533294e-11,0.00035305907047646643,3.2013083570886776e-05,0.00037767698494320433,5.0343715588886536e-05,8.969773997019704,1.8724445165742407e-15,70.29241476270668,0.0,3.8264097026281634e-05,2.822711697516156e-06,3.69880881833588e-05,4.814066506790817e-07,94679.16058349097,0.0010357595359025517
near-incompressible,elasticity-2d,N-200-lambda-100000,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,200,1608,441,100000.0,2.999990000099999,0.4999950000499995,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",100000.00000054574,0.0,2.0,0.0,12808.0,0.0,1.1834772155522229e-14,2.6380105201886142e-15,0.0,0.0,0.0026227690581875377,3.482598304283237e-05,4096.0,0.0,16384.0,0.0,0.0025664207903033764,2.9434161337809157e-05,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,9.36145197707342e-06,5.500360599796904e-07,0.0005180291995718789,5.5769746574688336e-05,0.236625320398889,0.014466029235592903,912.7,5.143496432929215,1004.0,0.0,94942996920895.97,4483393503664.6045,0.0003432844684549222,2.527294959544597e-05,0.0026001075581110105,3.3832262094253755e-05,0.00031037307814814753,2.4220615662352352e-05,0.0025474930272130214,2.8191015724580002e-05,1.0,0.0,3.055902197957039e-11,2.865573912808891e-11,9.164480285761556e-12,3.245700465460632e-11,0.0003533351726857269,3.197838506257439e-05,0.00037828358176064756,5.043061120853652e-05,8.969773420201403,1.8724445165742407e-15,70.29104269856248,0.0,3.82712530599479e-05,2.817568338853147e-06,3.699059593213553e-05,4.813168334881686e-07,94679.16052760083,0.00153833901289973
near-incompressible,elasticity-2d,N-400-lambda-10,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,400,3208,841,10.0,2.909090909090909,0.45454545454545453,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",9.999999999999996,0.0,2.0,0.0,12808.0,0.0,1.2103470449424777e-14,1.3301760862300552e-15,0.0,0.0,9.023330386336717e-05,1.70519075438982e-06,4096.0,0.0,16384.0,0.0,8.937356269180523e-05,1.7086335118574347e-06,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,2.1100188599595985e-07,1.1571299757579958e-08,1.0365473329542739e-05,2.295138629809568e-06,1.3357129392024945,0.035046515067513044,1631.8,7.177124153246279,2004.0,0.0,98206742572916.45,930095112299.1761,1.220537055292546e-05,9.480578056755678e-07,8.94004125955716e-05,1.6576055937470973e-06,1.0338176793939314e-05,8.567146831122906e-07,8.877055796716334e-05,1.67025233902257e-06,1.0,0.0,1.1823431123048067e-11,1.0820906207648627e-11,-1.1076028982870412e-11,1.0874257011203855e-11,7.1489646104027504e-06,1.0474753533771924e-06,7.4563503837557715e-06,2.233978101463442e-06,8.974549259915005,0.0,70.4294872967736,1.4979556132593925e-14,1.3599981680908456e-06,1.056384870391303e-07,1.269360548073549e-06,2.3535675998354684e-08,67014.95378575879,0.8729927022378404
near-incompressible,elasticity-2d,N-400-lambda-1000,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,400,3208,841,1000.0,2.999000999000999,0.4995004995004995,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",1000.000000000034,1.198364490607514e-13,2.0,0.0,12808.0,0.0,1.2103470449424777e-14,1.3301760862300552e-15,0.0,0.0,9.044711931965684e-05,1.7012832908681597e-06,4096.0,0.0,16384.0,0.0,8.936667829871854e-05,1.7020538328276802e-06,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,2.1836195640600423e-07,2.0603728632951537e-08,1.18935398654294e-05,2.9657118894182522e-06,1.34894764359924,0.03706844772303,1630.8,7.671013260609347,2004.0,0.0,98242500510903.22,1368685418062.2253,1.2317209751085059e-05,1.0081173093417409e-06,8.960053256716494e-05,1.6408863365981476e-06,1.0343910722803893e-05,8.866221658044082e-07,8.87627971621424e-05,1.657421224584524e-06,1.0,0.0,9.822542779147626e-12,1.0438738398883211e-11,-3.9184544498027666e-12,8.246386346379182e-12,7.8249873327825e-06,1.2568650454357548e-06,8.899952132562369e-06,2.8888443195216157e-06,8.969773997019704,1.8724445165742407e-15,70.29241476270668,0.0,1.3731906461832338e-06,1.1239049163074765e-07,1.2746828070943165e-06,2.334371841026456e-08,67014.78911330496,0.8568396432331761
near-incompressible,elasticity-2d,N-400-lambda-100000,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,400,3208,841,100000.0,2.999990000099999,0.4999950000499995,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",100000.00000054574,0.0,2.0,0.0,12808.0,0.0,1.2103470449424777e-14,1.3301760862300552e-15,0.0,0.0,9.044850249384307e-05,1.701237084076662e-06,4096.0,0.0,16384.0,0.0,8.936546105324254e-05,1.7014137941246047e-06,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,2.1851156628915736e-07,2.0700687559515773e-08,1.1910621330891354e-05,2.9732367654679396e-06,1.3470285071947727,0.04963355173225661,1630.8,7.671013260609347,2004.0,0.0,98268234726882.9,1366214688708.2183,1.2319159190222755e-05,1.0088726816216554e-06,8.960166610353265e-05,1.6405730735502352e-06,1.0344977784725802e-05,8.885162591584446e-07,8.876143358757234e-05,1.6565641656984226e-06,1.0,0.0,1.0368239600211382e-11,7.671929094497383e-12,-7.482869879282816e-12,7.603981750761763e-12,7.834199979217857e-06,1.2616710202369433e-06,8.914449600107225e-06,2.8952624695559485e-06,8.969773420201403,1.8724445165742407e-15,70.29104269856248,0.0,1.3734080687565627e-06,1.1247471194194367e-07,1.274723814921657e-06,2.333971741727752e-08,67014.92460685733,0.606857354281866
near-incompressible,elasticity-2d,N-600-lambda-10,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,600,4808,1225,10.0,2.909090909090909,0.45454545454545453,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",9.999999999999996,0.0,2.0,0.0,12808.0,0.0,1.4549855779399036e-14,3.1695778341519206e-15,0.0,0.0,2.260687323950464e-05,8.87293394961114e-07,4096.0,0.0,16384.0,0.0,2.210796241784386e-05,7.464190329750028e-07,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,6.19809973828128e-08,4.643659966562549e-09,4.047736728343953e-06,9.432126782936074e-07,3.987111159297638,0.16692912350186373,2315.8,3.119829055146024,3004.0,0.0,99368882428983.3,540172279747.49994,4.097773785566103e-06,2.427022681456463e-07,2.2232282238110236e-05,8.681859738110917e-07,3.3769342102332682e-06,3.194733431553727e-07,2.1847426072306362e-05,7.132569771294106e-07,1.0,0.0,6.502887117676437e-12,3.852998088684069e-12,-2.3978596885854133e-13,3.1718284538937315e-12,2.734566894854542e-06,6.615516527074179e-07,2.983087668124983e-06,6.784820429911881e-07,8.974549259915005,0.0,70.4294872967736,1.4979556132593925e-14,4.5659939757296637e-07,2.7043393614170745e-08,3.156672452325051e-07,1.2327023909073143e-08,54735.66543056398,1.7812368329734416
near-incompressible,elasticity-2d,N-600-lambda-1000,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,600,4808,1225,1000.0,2.999000999000999,0.4995004995004995,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",1000.000000000034,1.198364490607514e-13,2.0,0.0,12808.0,0.0,1.4549855779399036e-14,3.1695778341519206e-15,0.0,0.0,2.2697101575445998e-05,9.34321720256345e-07,4096.0,0.0,16384.0,0.0,2.210623493180712e-05,7.484698709366817e-07,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,6.53865137454447e-08,6.041794080494487e-09,4.484017520594702e-06,1.085422609009352e-06,4.039049819397041,0.1680378594260403,2313.3,3.5605867181937554,3004.0,0.0,99091440166636.67,790935717150.2295,4.122797759922962e-06,2.496820937811661e-07,2.231943298535545e-05,9.138992957125369e-07,3.3673717319297705e-06,3.473367483951298e-07,2.1846853624138254e-05,7.126048480746099e-07,1.0,0.0,5.593392415903509e-12,6.456238045557283e-12,-1.7030821197749902e-14,3.85192620130976e-12,2.9610549573395652e-06,7.331707670611727e-07,3.366200422009973e-06,8.054011859543188e-07,8.969773997019704,1.8724445165742407e-15,70.29241476270668,0.0,4.5963228965331803e-07,2.783594033295883e-08,3.175226382633382e-07,1.3001392807427095e-08,54736.40766458055,1.6649499381093467
near-incompressible,elasticity-2d,N-600-lambda-100000,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,600,4808,1225,100000.0,2.999990000099999,0.4999950000499995,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",100000.00000054574,0.0,2.0,0.0,12808.0,0.0,1.4549855779399036e-14,3.1695778341519206e-15,0.0,0.0,2.2698563062335034e-05,9.368485415673083e-07,4096.0,0.0,16384.0,0.0,2.210579801380426e-05,7.485587444195032e-07,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,6.548866237696994e-08,6.097297079360256e-09,4.491175172951672e-06,1.0942217756084703e-06,3.9731592265030486,0.102555205077823,2313.3,3.5605867181937554,3004.0,0.0,99132901634659.56,794201415543.3293,4.122578872410619e-06,2.50171267850756e-07,2.2320960207519805e-05,9.163987508498455e-07,3.3660036746177395e-06,3.460929126700029e-07,2.184663575730948e-05,7.128464675753258e-07,1.0,0.0,6.8894223659299316e-12,6.801011470085735e-12,-1.704703045390943e-12,4.388987219361788e-12,2.962705223142445e-06,7.33682063279197e-07,3.3743396860091244e-06,8.164915527494719e-07,8.969773420201403,1.8724445165742407e-15,70.29104269856248,0.0,4.596079164191479e-07,2.789047795648097e-08,3.1755056335188344e-07,1.3037205249319579e-08,54736.57496074044,1.5126186037036344
near-incompressible,elasticity-2d,N-800-lambda-10,ball,direct,streaming_tsqr,1e-14,grieshaber_li_yang,7,9,800,6408,1681,10.0,2.909090909090909,0.45454545454545453,1.0,3000000.0,10,"[3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0, 3000000.0]",9.999999999999996,0.0,2.0,0.0,12808.0,0.0,2.503622511551258e-14,4.428138640420778e-15,0.0,0.0,6.685682722553678e-06,5.530818452171145e-07,4096.0,0.0,16384.0,0.0,6.634724406487236e-06,5.575539654038089e-07,0.11613758025047934,0.0,0.02273987924736201,0.0,9.205212479307538e-09,3.907805224210528e-10,6.933173387394263e-07,4.425949004423564e-08,8.828411535502529,0.30006905621527236,3023.3,3.529242915351047,4004.0,0.0,99356972074700.92,410074092626.85187,7.103032241939867e-07,2.397976226454081e-08,6.647655836399289e-06,5.553857318253834e-07,5.588358722596793e-07,2.50786542594549e-08,6.611008318344951e-06,5.588213484958919e-07,1.0,0.0,7.86712917033583e-12,4.537609952474884e-12,-5.250799794964678e-13,7.631621327851537e-12,4.793543760218596e-07,3.3907197010492045e-08,5.006746513540974e-07,3.2685230809236105e-08,8.974549259915005,0.0,70.4294872967736,1.4979556132593925e-14,7.914639539242039e-08,2.671973997808097e-09,9.438739498965257e-08,7.885698918765603e-09,47400.72845048286,23.927436182678342
