model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,u_l2_error,sigma_l2_error,wall_time,rank,columns,condition_estimate,u_h1_error,sigma_hdiv_error,constitutive_residual,equilibrium_residual,coefficient_ball_active,trace_residual,continuous_trace_mean,sigma_deviatoric_l2_error,sigma_hydrostatic_l2_error,u_h1_exact_norm,sigma_hdiv_exact_norm,relative_u_h1_error,relative_sigma_hdiv_error,coefficient_norm,algorithm,hyperparameter,study,configuration
elasticity-2d,0,200,804,441,3,7,2.0,12808,3.629485844170506e-15,0.0,0.017393860677370015,"{""100.0"": 7.7994231424986635, ""1000.0"": 0.9223977500043744, ""10000.0"": 0.017393860677370015, ""100000.0"": 0.1176945410886241, ""1000000.0"": 0.2743692287097577, ""inf"": 208.61319292542933}",0.23481480787577474,0.046247351138635595,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),4.1542662388649285e-05,0.0006855559595840427,0.2460752089973539,997,1004,1018463147453.272,0.001729106304237665,0.01733377716933996,0.0015316362664147035,0.017320214894238756,True,2.842170943040401e-14,3.9527703159236705e-11,0.00047827718845762314,0.0004911597547868401,2.2836308025822403,15.004035497307717,0.0007571741904525282,0.0011552743375240805,315.5972015489889,ball,10000.0,main,N-200
elasticity-2d,0,200,804,441,3,7,2.0,12808,3.629485844170506e-15,0.0,0.012672208962708115,"{""1e-05"": 0.013899369583037452, ""1e-06"": 0.012672208962708115, ""1e-08"": 0.07865689548279495, ""1e-10"": 0.14440990481310098, ""1e-12"": 185.0608286119318, ""1e-14"": 341.7468553474425}",0.23481480787577474,0.046247351138635595,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),4.768401444248054e-05,0.000850701178717049,0.1312018829921726,744,1004,996129.8574515869,0.0015940677175533585,0.012598616379004411,0.0014729444467883228,0.012569862456281996,True,5.329070518200751e-15,5.1036538710469426e-11,0.0006134029428153991,0.0005894313575099181,2.2836308025822403,15.004035497307717,0.0006980409073790953,0.0008396818563422535,102.74097742137032,ridge,1e-06,main,N-200
elasticity-2d,0,200,804,441,3,7,2.0,12808,3.629485844170506e-15,0.0,0.014235658225086196,"{""1e-06"": 0.014235658225086196, ""1e-08"": 0.023331885048844574, ""1e-10"": 0.19596635010558303, ""1e-12"": 208.41965449746482, ""1e-14"": 208.61319292542933}",0.23481480787577474,0.046247351138635595,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),5.3211897354707444e-05,0.0010389894153973464,0.13265755400061607,744,1004,996129.8574515869,0.0017125256276125044,0.014156495106031638,0.001594029950134228,0.014118316283530058,False,1.1546319456101628e-14,7.81394367613264e-11,0.0007409021821086048,0.0007283975300990713,2.2836308025822403,15.004035497307717,0.000749913526160204,0.0009435125042573941,115.78046125776322,tsvd,1e-06,main,N-200
elasticity-2d,1,200,804,441,3,7,2.0,12808,3.2026148198690622e-15,0.0,0.016125558821161703,"{""100.0"": 7.795588052557574, ""1000.0"": 0.9205498056022869, ""10000.0"": 0.016125558821161703, ""100000.0"": 0.06373373913724685, ""1000000.0"": 0.2470460609680773, ""inf"": 44.34676304324833}",0.23481480787577474,0.046247351138635595,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),4.855690709495419e-05,0.0007468323612306692,0.23947759499424137,997,1004,537117201709.56433,0.0015637575413930207,0.01606121231140365,0.0014776154190711311,0.016043839388880793,True,3.552713678800501e-14,-1.1257354857324708e-10,0.0005500549170169347,0.0005051714204573234,2.2836308025822403,15.004035497307717,0.0006847681068344256,0.0010704594983320076,315.5972015488139,ball,10000.0,main,N-200
elasticity-2d,1,200,804,441,3,7,2.0,12808,3.2026148198690622e-15,0.0,0.011875066799234018,"{""1e-05"": 0.01447047017263154, ""1e-06"": 0.011875066799234018, ""1e-08"": 0.04671338235415139, ""1e-10"": 0.5817577359691317, ""1e-12"": 39.89448556943923, ""1e-14"": 425.71954741040037}",0.23481480787577474,0.046247351138635595,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),4.7234177094303844e-05,0.0008958714115366389,0.12411418298142962,748,1004,993535.795079152,0.0016098650394759087,0.011782599316095125,0.001527359414372616,0.011748491863113183,True,1.0658141036401503e-14,-5.825030041650692e-11,0.0006274052812967701,0.0006394905777332224,2.2836308025822403,15.004035497307717,0.0007049585413086636,0.0007852953505881376,96.64119445509883,ridge,1e-06,main,N-200
elasticity-2d,1,200,804,441,3,7,2.0,12808,3.2026148198690622e-15,0.0,0.01362808153862555,"{""1e-06"": 0.01362808153862555, ""1e-08"": 0.04545917132755401, ""1e-10"": 0.8077713471980283, ""1e-12"": 44.34676304324833, ""1e-14"": 44.34676304324833}",0.23481480787577474,0.046247351138635595,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),5.0820480661542386e-05,0.0009665107375506084,0.12601561800693162,748,1004,993535.795079152,0.0017478746548668382,0.013532895069935014,0.001667303874356297,0.01349833715566739,False,1.0658141036401503e-14,-7.036607234389702e-11,0.0006962976134854594,0.0006703078690087675,2.2836308025822403,15.004035497307717,0.0007653928353437911,0.0009019503501150287,108.28855645994243,tsvd,1e-06,main,N-200
elasticity-2d,2,200,804,441,3,7,2.0,12808,3.1634311115917817e-15,0.0,0.024739463960009887,"{""100.0"": 7.786013659865634, ""1000.0"": 0.9280511853099738, ""10000.0"": 0.024739463960009887, ""100000.0"": 0.15246707000081686, ""1000000.0"": 2.293741427067484, ""inf"": 32.269823268741725}",0.23481480787577474,0.046247351138635595,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),5.0728141732865203e-05,0.0014672551708258224,0.20542116501019336,974,1004,440960317443.20404,0.002078416187221025,0.024665862378731866,0.002273104472250566,0.024622183679564754,True,2.1316282072803006e-14,-2.647547892725699e-10,0.001281995781408387,0.0007136697785153949,2.2836308025822403,15.004035497307717,0.0009101366932302864,0.0016439485485860014,315.5972015487882,ball,10000.0,main,N-200
elasticity-2d,2,200,804,441,3,7,2.0,12808,3.1634311115917817e-15,0.0,0.013471972095245333,"{""1e-05"": 0.015597546221171881, ""1e-06"": 0.013471972095245333, ""1e-08"": 0.06889685030085355, ""1e-10"": 1.2462284684747214, ""1e-12"": 28.01256834868299, ""1e-14"": 2058.3175361891826}",0.23481480787577474,0.046247351138635595,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),4.605708323909341e-05,0.0011532786174615983,0.10558401598245837,733,1004,988319.6239281062,0.0017135866746146654,0.013381291137444249,0.0017159797195007566,0.013331500325752907,True,7.105427357601002e-15,-5.3374909526893166e-11,0.0007958251246499347,0.0008346939202306745,2.2836308025822403,15.004035497307717,0.0007503781577464312,0.0008918461396499196,89.76253816998006,ridge,1e-06,main,N-200
elasticity-2d,2,200,804,441,3,7,2.0,12808,3.1634311115917817e-15,0.0,0.013707383030666516,"{""1e-06"": 0.013707383030666516, ""1e-08"": 0.06947371662307993, ""1e-10"": 0.20869159436101195, ""1e-12"": 32.269823268741725, ""1e-14"": 32.269823268741725}",0.23481480787577474,0.046247351138635595,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),5.0548904255365225e-05,0.0013714847922858596,0.1072182199859526,733,1004,988319.6239281062,0.0019482760306466372,0.013588549843357892,0.0019775006272526293,0.01351916108010961,False,0.0,-5.124840309067569e-11,0.0009769602710268136,0.0009625586549954252,2.2836308025822403,15.004035497307717,0.0008531484285654244,0.0009056596704130822,95.03690583618985,tsvd,1e-06,main,N-200
elasticity-2d,3,200,804,441,3,7,2.0,12808,3.5618045089646425e-15,0.0,0.016751706406194066,"{""100.0"": 7.793046832663387, ""1000.0"": 0.926260171227335, ""10000.0"": 0.016751706406194066, ""100000.0"": 0.02652816315722244, ""1000000.0"": 0.8430442503834609, ""inf"": 28.292362025464424}",0.23481480787577474,0.046247351138635595,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.321709017657385e-05,0.0009455836365302269,0.2164769099908881,985,1004,4730391583229.539,0.002142606694513126,0.016613765359577135,0.001988637913843737,0.016586834267255806,True,7.815970093361102e-14,-8.081511675139819e-11,0.0007511617922910993,0.0005743556176061583,2.2836308025822403,15.004035497307717,0.0009382456621667347,0.0011072864605364513,315.59720154882996,ball,10000.0,main,N-200
elasticity-2d,3,200,804,441,3,7,2.0,12808,3.5618045089646425e-15,0.0,0.011815171560003836,"{""1e-05"": 0.01353039390307591, ""1e-06"": 0.011815171560003836, ""1e-08"": 0.023941824442098802, ""1e-10"": 0.618937064979251, ""1e-12"": 3.43014357709669, ""1e-14"": 70.8477970796803}",0.23481480787577474,0.046247351138635595,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),4.690836729813265e-05,0.0009227639657488782,0.11061280098510906,740,1004,996496.69116682,0.0017020257380890545,0.011698927648429721,0.0015858192179306594,0.0116624789297434,True,0.0,-4.6980560067244603e-11,0.0006525254911250403,0.0006524598224539361,2.2836308025822403,15.004035497307717,0.0007453156334046951,0.000779718739703658,95.38947743452891,ridge,1e-06,main,N-200
