study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,u_l2_error_mean,u_l2_error_std,sigma_l2_error_mean,sigma_l2_error_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,u_h1_error_mean,u_h1_error_std,sigma_hdiv_error_mean,sigma_hdiv_error_std,constitutive_residual_mean,constitutive_residual_std,equilibrium_residual_mean,equilibrium_residual_std,coefficient_ball_active_mean,coefficient_ball_active_std,trace_residual_mean,trace_residual_std,continuous_trace_mean_mean,continuous_trace_mean_std,sigma_deviatoric_l2_error_mean,sigma_deviatoric_l2_error_std,sigma_hydrostatic_l2_error_mean,sigma_hydrostatic_l2_error_std,u_h1_exact_norm_mean,u_h1_exact_norm_std,sigma_hdiv_exact_norm_mean,sigma_hdiv_exact_norm_std,relative_u_h1_error_mean,relative_u_h1_error_std,relative_sigma_hdiv_error_mean,relative_sigma_hdiv_error_std,coefficient_norm_mean,coefficient_norm_std
order,elasticity-2d,N-200,ball,direct,streaming_tsqr,1e-14,hu_zhang,3,7,200,804,441,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,3.4947467392750578e-15,4.641842943383014e-16,0.0,0.0,0.01714371680398705,0.004020361272144383,0.23481480787577474,0.0,0.046247351138635595,0.0,4.8459680064356606e-05,9.901247431108128e-06,0.0008617744548694297,0.0002526285653709502,0.21892183080199173,0.01941150220710471,994.0,9.092121131323903,1004.0,0.0,11325164099554.492,16128074978536.592,0.0017763712803685508,0.00028151368089921716,0.017065080528507536,0.004027718077909578,0.0016667372967624217,0.00032209084059196406,0.017041713357742207,0.004027288392496421,1.0,0.0,3.481659405224491e-14,1.994307243556258e-14,-8.316715207137836e-11,1.1473239060058389e-10,0.0006579751151604148,0.0002414147813482124,0.0005462138405316913,0.00013482698854434363,2.2836308025822403,0.0,15.004035497307717,0.0,0.0007778714835865324,0.00012327460313676472,0.001137366046059385,0.0002684423186436943,315.5972015488322,6.623201825399677e-11
order,elasticity-2d,N-200,ridge,direct,streaming_tsqr,1e-14,hu_zhang,3,7,200,804,441,0.3333333333333333,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,3.4947467392750578e-15,4.641842943383014e-16,0.0,0.0,0.012226919454544148,0.0010160299866940642,0.23481480787577474,0.0,0.046247351138635595,0.0,4.460767683959835e-05,5.400985743858486e-06,0.0009041050367903385,0.00010594638400017586,0.11415524849726352,0.01208201548722216,745.3,6.2012543533994435,1004.0,0.0,993904.558549048,4952.013531948825,0.0015845707505055529,8.718322356725308e-05,0.012145070707736287,0.0010246971663741028,0.001503571692008579,9.542769214359669e-05,0.012111087697921932,0.0010229548884653035,1.0,0.0,5.684341886080802e-15,3.532921248036847e-15,-3.188716868676722e-11,5.449398939863344e-11,0.0006367470512148705,7.146037879548322e-05,0.0006414469519318998,8.172558192382009e-05,2.2836308025822403,0.0,15.004035497307717,0.0,0.0006938821935287361,3.817745997674833e-05,0.0008094536106579836,6.829477086734245e-05,96.03887219250323,3.5419765425482015
order,elasticity-2d,N-200,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,3,7,200,804,441,0.3333333333333333,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,3.4947467392750578e-15,4.641842943383014e-16,0.0,0.0,0.01322071490552687,0.001279533535401339,0.23481480787577474,0.0,0.046247351138635595,0.0,4.729100659848193e-05,6.113128630610493e-06,0.001019008944462671,0.00015553230139103046,0.11568086100160144,0.012155601666651136,745.3,6.2012543533994435,1004.0,0.0,993904.558549048,4952.013531948825,0.0017059305388183467,0.00015182223260150834,0.013130722609713888,0.0012871251191777524,0.0016252814146576224,0.00017369158879217595,0.013090506091986772,0.0012846953716270002,0.0,0.0,1.056932319443149e-14,8.564770812134144e-15,-3.0388168890949084e-11,6.908837829410329e-11,0.0007257248975322304,0.00011744647158069045,0.0007148162080382244,0.00010592110010614912,2.2836308025822403,0.0,15.004035497307717,0.0,0.000747025542346577,6.64828274473412e-05,0.0008751460640085814,8.578526219887382e-05,105.66392359224696,6.0418185217999305
order,elasticity-2d,N-400,ball,direct,streaming_tsqr,1e-14,hu_zhang,3,7,400,1604,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,5.1284260994803595e-15,6.077978014323662e-16,0.0,0.0,0.004315906812485259,0.0009279741768502089,0.16650647540809954,2.925694557147251e-17,0.03431017532197373,0.0,1.2082915911923169e-05,1.1228527463336403e-06,0.00022340054604065698,2.9233292500917753e-05,1.3781455766031285,0.05940383538876855,1983.0,11.135528725660043,2004.0,0.0,50988226938386.68,22458086110347.02,0.0006137568130383053,6.443466894728882e-05,0.004245249093043766,0.0009370043789737546,0.0005438306170407758,6.180123106116121e-05,0.004239056677157022,0.0009381073763529958,1.0,0.0,5.329070518200751e-15,4.1023203976182695e-15,1.8612857930269676e-10,2.051147654462451e-10,0.0001643337545393935,2.880287515434044e-05,0.00015066044209098906,1.585118555526642e-05,2.2836308025822403,0.0,15.004035497307717,0.0,0.0002687635901321234,2.821588711906873e-05,0.00028294048583166323,6.245015743543716e-05,223.38352580437603,5.9210481123454e-11
order,elasticity-2d,N-400,ridge,direct,streaming_tsqr,1e-14,hu_zhang,3,7,400,1604,841,0.3333333333333333,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,5.1284260994803595e-15,6.077978014323662e-16,0.0,0.0,0.00356218221094222,0.00021664331909066294,0.16650647540809954,2.925694557147251e-17,0.03431017532197373,0.0,1.2022792080618201e-05,8.838035548251097e-07,0.0003235210762776095,4.040108507280639e-05,0.6487945386994397,0.04034009544686043,1258.8,6.545566777937908,2004.0,0.0,997372.2700177736,1238.1686150745622,0.0005923419650404553,3.4278114280345006e-05,0.0034777621156115955,0.00022004074328722405,0.0005595056543330624,3.3552381477305094e-05,0.00346252503177613,0.000219066106814371,1.0,0.0,1.9539925233402755e-14,1.1753225498788334e-14,2.0004023264241777e-10,6.546038084167597e-11,0.0002357610549929372,3.112205164813119e-05,0.00022146679967964753,2.650717728253636e-05,2.2836308025822403,0.0,15.004035497307717,0.0,0.0002593860462779965,1.5010357296628099e-05,0.00023178844892999856,1.4665437396939481e-05,56.29993297596818,0.6175133188533496
order,elasticity-2d,N-400,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,3,7,400,1604,841,0.3333333333333333,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,5.1284260994803595e-15,6.077978014323662e-16,0.0,0.0,0.003687740209299228,0.0002523533616989895,0.16650647540809954,2.925694557147251e-17,0.03431017532197373,0.0,1.2966511830206074e-05,6.192716260483222e-07,0.0003532896781559468,2.3588396722145534e-05,0.655859933499596,0.040177432774228555,1258.8,6.545566777937908,2004.0,0.0,997372.2700177736,1238.1686150745622,0.0006542082734995265,3.247125570978535e-05,0.003602494319932858,0.000252522401365034,0.0006142108586180669,3.252467975207257e-05,0.0035850210163404493,0.000253127276971649,0.0,0.0,1.3145040611561854e-14,5.309296533430535e-15,1.900270596259801e-10,8.231976360408737e-11,0.0002626458139539991,2.3754410277047782e-05,0.0002360599833059731,1.0508398368148856e-05,2.2836308025822403,0.0,15.004035497307717,0.0,0.00028647725050817035,1.421913545441239e-05,0.00024010169267989792,1.683029884928931e-05,60.45201809229534,1.1484456494882624
order,elasticity-2d,N-600,ball,direct,streaming_tsqr,1e-14,hu_zhang,3,7,600,2404,1225,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,6.0272511262892354e-15,6.605292137801442e-16,0.0,0.0,0.0021329490395621893,0.0003762210234687192,0.12999148500885285,0.0,0.02738468763708961,0.0,5.344109026998806e-06,3.968132860814085e-07,0.00010228478612775383,7.064251182145274e-06,4.845280932096648,0.1846773471910601,2966.7,9.695932709704163,3004.0,0.0,54773638863877.766,19207709866276.73,0.0003093124651264897,1.591504813401264e-05,0.00210068864705082,0.0003803332515837321,0.0002723114077667481,1.4193275370609659e-05,0.0020981174749677154,0.00038075481519394904,1.0,0.0,1.4566126083082053e-14,9.686168333984583e-15,4.880900949903733e-10,1.9535584320306485e-10,7.449491645219821e-05,6.21971478653578e-06,6.998007977162612e-05,5.330232911517853e-06,2.2836308025822403,0.0,15.004035497307717,0.0,0.00013544766727473253,6.969186138151804e-06,0.000140008242944224,2.5348730456681343e-05,182.45259129222535,3.667270690408948e-11
order,elasticity-2d,N-600,ridge,direct,streaming_tsqr,1e-14,hu_zhang,3,7,600,2404,1225,0.3333333333333333,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,6.0272511262892354e-15,6.605292137801442e-16,0.0,0.0,0.0017783715931564113,5.242194230688561e-05,0.12999148500885285,0.0,0.02738468763708961,0.0,5.217183207117672e-06,4.6750524359946426e-07,0.0002190699756178715,3.285394751812548e-05,1.8563425921980525,0.04103980595324629,1623.1,4.629614814791111,3004.0,0.0,998791.0315386604,654.9804360062734,0.00032563154576046644,2.4558204931434606e-05,0.0017401776988795203,5.080043296807537e-05,0.0003205424056654201,2.7280607382487004e-05,0.001726118860870309,4.820810810309788e-05,1.0,0.0,1.2789769243681804e-14,9.354729806494551e-15,2.382313762927524e-10,2.1285886942774772e-11,0.0001561850137750246,2.1818991406733388e-05,0.0001535649099132078,2.4915329195398444e-05,2.2836308025822403,0.0,15.004035497307717,0.0,0.0001425937789034265,1.0754017200882541e-05,0.00011598064395353992,3.3857846428842993e-06,41.65207596253663,0.3660829249821855
order,elasticity-2d,N-600,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,3,7,600,2404,1225,0.3333333333333333,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,6.0272511262892354e-15,6.605292137801442e-16,0.0,0.0,0.0018522421684153412,7.22488356450956e-05,0.12999148500885285,0.0,0.02738468763708961,0.0,5.915122452499536e-06,4.8899564997646e-07,0.0002387928871320385,2.5677298878017145e-05,1.881738694800879,0.03995576654853693,1623.1,4.629614814791111,3004.0,0.0,998791.0315386604,654.9804360062734,0.00036413266582308805,2.5653646160075438e-05,0.0018124125450312827,7.320478718011155e-05,0.0003543442084849933,2.7511697200924683e-05,0.0017964857041090007,7.215693424349026e-05,0.0,0.0,2.842170943040401e-14,2.0917811758465268e-14,2.603296959946544e-10,4.697893500109578e-11,0.0001734687159547258,1.806227966925441e-05,0.00016398763438959672,1.9392818112661536e-05,2.2836308025822403,0.0,15.004035497307717,0.0,0.00015945338686592468,1.1233709989840437e-05,0.00012079500514088339,4.879006530826135e-06,43.460722950355894,0.5999533780959863
order,elasticity-2d,N-800,ball,direct,streaming_tsqr,1e-14,hu_zhang,3,7,800,3204,1681,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,7.431191789924477e-15,6.320071470838111e-16,0.0,0.0,0.0011879002197987172,0.0001321132511977968,0.10610334487115107,0.0,0.0233461772167435,0.0,3.416399699253747e-06,6.131679069584862e-07,7.126185447694922e-05,7.790424310986959e-06,13.707000189804239,0.4082056965119561,3949.9,14.20054772026613,4004.0,0.0,71850200380945.39,16050879394937.686,0.00022584779983300107,2.517004991732679e-05,0.0011499987773997346,0.0001323296642200679,0.0001976830075715745,2.2758412981512914e-05,0.0011477692599028005,0.000132287844948695,1.0,0.0,9.414691248821327e-15,8.864002829422652e-15,-8.398860799549434e-11,2.53248538096533e-10,5.3575904906053004e-05,7.364119125665346e-06,4.690525674263443e-05,3.885245781215115e-06,2.2836308025822403,0.0,15.004035497307717,0.0,9.889856082586608e-05,1.1021943603521849e-05,7.664596485432783e-05,8.819604848563096e-06,158.03488531026107,2.8611410223241913e-11
