model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,u_l2_error,sigma_l2_error,wall_time,rank,columns,condition_estimate,u_h1_error,sigma_hdiv_error,constitutive_residual,equilibrium_residual,coefficient_ball_active,trace_residual,continuous_trace_mean,sigma_deviatoric_l2_error,sigma_hydrostatic_l2_error,u_h1_exact_norm,sigma_hdiv_exact_norm,relative_u_h1_error,relative_sigma_hdiv_error,coefficient_norm,algorithm,hyperparameter,study,configuration
elasticity-2d,0,500,8016,1024,3,10,2.0,12808,3.5463049812225547e-14,0.0,0.0021396458973458963,"{""1000.0"": 0.8880862872686458, ""10000.0"": 0.0021396458973458963, ""3000.0"": 0.0021607862397140065, ""30000.0"": 0.002141204580752917, ""inf"": 0.0021508288996796316}",0.1234840922707953,0.04557728157814494,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),5.739456060938237e-06,7.979321789273974e-05,5.1558919829985825,2504,2504,24967492172296.594,0.00037653297485250775,0.002097714373761423,0.00031968449300927315,0.0020961962303810205,True,7.105427357601002e-15,-5.685134307764628e-11,5.587717922705555e-05,5.696225472456084e-05,2.2836308025822403,15.004035497307719,0.0001648834717182563,0.00013981001138912467,199.8401917443012,ball,10000.0,activation,k-3
elasticity-2d,1,500,8016,1024,3,10,2.0,12808,3.9788238665560345e-14,0.0,0.0021388946553048097,"{""1000.0"": 0.8896712302014542, ""10000.0"": 0.0021388946553048097, ""3000.0"": 0.002156909924619876, ""30000.0"": 0.002144513937749714, ""inf"": 0.0021516589395124447}",0.1234840922707953,0.04557728157814494,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.500005242452501e-06,7.504718565501454e-05,5.172638978998293,2504,2504,9525021393694.857,0.0003870059535062895,0.0020878467737560497,0.0003318769648974174,0.0020864975606524937,True,3.552713678800501e-15,1.090887657984041e-10,5.258796998715461e-05,5.3540503241642645e-05,2.2836308025822403,15.004035497307719,0.00016946958022666289,0.00013915234832193558,199.84019174437304,ball,10000.0,activation,k-3
elasticity-2d,2,500,8016,1024,3,10,2.0,12808,3.654132926099255e-14,0.0,0.0021434824393317714,"{""1000.0"": 0.8893819899351874, ""10000.0"": 0.0021443116980774633, ""3000.0"": 0.0021647776638938757, ""30000.0"": 0.0021434824393317714, ""inf"": 0.28676014529577154}",0.1234840922707953,0.04557728157814494,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),5.798415456723135e-06,9.31940605042619e-05,4.768907534999016,2499,2504,23420481869755.0,0.00037785881064019794,0.0021024002204166926,0.00032401636552956673,0.002100333676798733,True,2.842170943040401e-14,-4.5598436138050147e-10,6.54193496135957e-05,6.637350080722095e-05,2.2836308025822403,15.004035497307719,0.00016546405409006133,0.00014012231714554004,599.5205752333717,ball,30000.0,activation,k-3
elasticity-2d,3,500,8016,1024,3,10,2.0,12808,3.827471605532412e-14,0.0,0.002144326254794315,"{""1000.0"": 0.8891214419078518, ""10000.0"": 0.002144326254794315, ""3000.0"": 0.002157819249058191, ""30000.0"": 0.0021513473896172214, ""inf"": 0.035828546714061826}",0.1234840922707953,0.04557728157814494,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),5.725445808745682e-06,8.037861014423465e-05,5.022639278002316,2504,2504,71845059532358.12,0.00036634522583322155,0.0021000806883553122,0.00031125877431385486,0.002098541916816103,True,7.105427357601002e-15,6.047241873918807e-11,5.412545507298893e-05,5.942353138160603e-05,2.2836308025822403,15.004035497307719,0.00016042226502592833,0.0001399677232656604,199.84019174444904,ball,10000.0,activation,k-3
elasticity-2d,4,500,8016,1024,3,10,2.0,12808,4.252320538999131e-14,0.0,0.002153318923485574,"{""1000.0"": 0.8903043818532055, ""10000.0"": 0.002153318923485574, ""3000.0"": 0.0021648589234881887, ""30000.0"": 0.002157298199658284, ""inf"": 0.0022045639610218095}",0.1234840922707953,0.04557728157814494,500023,500031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.307718231029638e-06,8.18440159747424e-05,4.959392491000472,2504,2504,12918494878131.234,0.0003814482990691386,0.002119192829644304,0.0003256497905456208,0.0021176118167088504,True,7.993605777301127e-15,2.8074459423876874e-11,5.643736217358016e-05,5.927281924931557e-05,2.2836308025822403,15.004035497307719,0.00016703588804189005,0.00014124152332381284,199.84019174435295,ball,10000.0,activation,k-3
elasticity-2d,5,500,8016,1024,3,10,2.0,12808,2.874452744690512e-14,0.0,0.002143550791270643,"{""1000.0"": 0.893974166513154, ""10000.0"": 0.002143550791270643, ""3000.0"": 0.0021609693426489916, ""30000.0"": 0.002145813654959563, ""inf"": 0.00895709556661619}",0.1234840922707953,0.04557728157814494,600023,600031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),5.466557860294466e-06,7.106796587932571e-05,5.103024793002987,2504,2504,8577816180271.119,0.0003546196992839043,0.0021055721312672328,0.00030079516289723896,0.002104372434764106,True,1.1546319456101628e-14,-1.3506031015797504e-10,4.6805924640914036e-05,5.347767003838219e-05,2.2836308025822403,15.004035497307719,0.00015528766685180207,0.0001403337209942652,199.84019174436733,ball,10000.0,activation,k-3
elasticity-2d,6,500,8016,1024,3,10,2.0,12808,5.330135252977656e-14,0.0,0.00215166384820466,"{""1000.0"": 0.8886424382118491, ""10000.0"": 0.00215166384820466, ""3000.0"": 0.002171238934581807, ""30000.0"": 0.002153997720917545, ""inf"": 0.0021784907258820974}",0.1234840922707953,0.04557728157814494,700023,700031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),5.788087195654466e-06,7.965153999955603e-05,4.896146443999896,2504,2504,9994182096391.207,0.0003903151767094025,0.002104407885291987,0.0003271768134050443,0.002102899945279088,True,1.7763568394002505e-15,-2.985953151402043e-11,5.476659566380486e-05,5.7835869697776535e-05,2.2836308025822403,15.004035497307719,0.0001709186862727764,0.00014025612547168364,199.84019174437432,ball,10000.0,activation,k-3
elasticity-2d,7,500,8016,1024,3,10,2.0,12808,3.724871704181606e-14,0.0,0.0021686797117326613,"{""1000.0"": 0.8903015991288937, ""10000.0"": 0.0021686797117326613, ""3000.0"": 0.002181253290827642, ""30000.0"": 0.0021711689615644273, ""inf"": 0.002185645552252746}",0.1234840922707953,0.04557728157814494,800023,800031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.228323912312714e-06,8.75876691075886e-05,5.532493186998181,2504,2504,13776266040256.074,0.00042109958214640105,0.00211399124830699,0.00036721112161428694,0.0021121759865453554,True,9.325873406851315e-15,-1.3514592223096145e-11,6.41228250075498e-05,5.966458826432623e-05,2.2836308025822403,15.004035497307719,0.00018439915141722478,0.00014089484450275518,199.84019174437955,ball,10000.0,activation,k-3
elasticity-2d,8,500,8016,1024,3,10,2.0,12808,5.1251194587624926e-14,0.0,0.00217197361604906,"{""1000.0"": 0.8894995572289729, ""10000.0"": 0.00217197361604906, ""3000.0"": 0.0021763965581255065, ""30000.0"": 0.002196681827723443, ""inf"": 0.0023169996348663814}",0.1234840922707953,0.04557728157814494,900023,900031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.13271973239913e-06,8.609982475064066e-05,4.84931755400612,2504,2504,14452655232368.064,0.0003836692417009431,0.0021170165522911713,0.000326119828041354,0.002115264972255889,True,7.105427357601002e-15,-5.7723367752338106e-11,6.115875928177022e-05,6.060351462749928e-05,2.2836308025822403,15.004035497307719,0.00016800843694484457,0.00014109647718915639,199.84019174438723,ball,10000.0,activation,k-3
elasticity-2d,9,500,8016,1024,3,10,2.0,12808,4.294250207633881e-14,0.0,0.0021498901710399537,"{""1000.0"": 0.8873457425751655, ""10000.0"": 0.0021498901710399537, ""3000.0"": 0.002169898054377909, ""30000.0"": 0.002158130135292108, ""inf"": 0.022584979904716}",0.1234840922707953,0.04557728157814494,1000023,1000031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),6.539709379095803e-06,7.517178666257307e-05,5.0614633439909085,2504,2504,14197159051528.77,0.000377160988482559,0.002102915028966566,0.0003209937676875854,0.0021015710365208714,True,3.552713678800501e-15,1.124741827451814e-10,5.1833139991377475e-05,5.4443760971094406e-05,2.2836308025822403,15.004035497307719,0.000165158478356519,0.00014015662848464384,199.8401917442969,ball,10000.0,activation,k-3
