model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,u_l2_error,sigma_l2_error,wall_time,rank,columns,condition_estimate,u_h1_error,sigma_hdiv_error,constitutive_residual,equilibrium_residual,coefficient_ball_active,trace_residual,continuous_trace_mean,sigma_deviatoric_l2_error,sigma_hydrostatic_l2_error,u_h1_exact_norm,sigma_hdiv_exact_norm,relative_u_h1_error,relative_sigma_hdiv_error,coefficient_norm,algorithm,hyperparameter,study,configuration
elasticity-2d,0,400,401,841,7,7,2.0,12808,3.925743140037659e-15,0.0,4.153681241417238e-05,"{""100.0"": 1.9598358791628279, ""1000.0"": 0.0008449847162113958, ""10000.0"": 4.153681241417238e-05, ""100000.0"": 6.797163294932639e-05, ""1000000.0"": 6.797163294932639e-05, ""inf"": 6.797163294932639e-05}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),9.827194144047388e-08,6.444880908253849e-06,0.7760073360113893,1469,2004,97896239977692.0,2.6021309964902616e-06,4.1455241907382555e-05,6.225173669916054e-06,4.095119768307188e-05,True,3.552713678800501e-14,-2.7243832190215755e-15,5.485388815822854e-06,3.383341463822489e-06,2.2836308025822403,15.004035497307717,1.139470965949432e-06,2.762939471505594e-06,223.3661982558916,ball,10000.0,q,Qratio-1
elasticity-2d,0,400,401,841,7,7,2.0,12808,3.925743140037659e-15,0.0,9.084913866017723e-06,"{""1e-05"": 0.22202820724876024, ""1e-06"": 0.015764067693215915, ""1e-08"": 0.0005081385832049469, ""1e-10"": 3.864533749716983e-05, ""1e-12"": 9.084913866017723e-06, ""1e-14"": 8.840402889990866e-05}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),2.1702098755652108e-08,1.6823099249480134e-06,0.17307161301141605,1134,2004,995644655610.0397,7.618037000458127e-07,9.052920850751892e-06,1.502580671003969e-06,8.89523519904897e-06,True,3.552713678800501e-15,1.6774776012695725e-15,1.3035295520383953e-06,1.063474207746089e-06,2.2836308025822403,15.004035497307717,3.335931969320062e-07,6.033657313311691e-07,33.628038336027736,ridge,1e-12,q,Qratio-1
elasticity-2d,0,400,401,841,7,7,2.0,12808,3.925743140037659e-15,0.0,9.223197968317035e-06,"{""1e-06"": 0.01758264697575342, ""1e-08"": 0.0004290187879712299, ""1e-10"": 4.0459939964095715e-05, ""1e-12"": 9.223197968317035e-06, ""1e-14"": 6.797163294932639e-05}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),3.3199115548895235e-08,2.1611715102156173e-06,0.17749428600654937,1134,2004,995644655610.0397,1.1945760637456593e-06,9.145520151697447e-06,2.0556834938941058e-06,8.886499679206456e-06,False,2.1316282072803006e-14,-2.110291108525786e-15,1.7235262518920192e-06,1.3038863277167607e-06,2.2836308025822403,15.004035497307717,5.231038495342064e-07,6.095373576887694e-07,34.51032319927544,tsvd,1e-12,q,Qratio-1
elasticity-2d,1,400,401,841,7,7,2.0,12808,5.210665604783716e-15,0.0,1.817170997237332e-05,"{""100.0"": 1.897541927817749, ""1000.0"": 0.000734036965223749, ""10000.0"": 1.817170997237332e-05, ""100000.0"": 5.609194808334603e-05, ""1000000.0"": 5.609194808334603e-05, ""inf"": 5.609194808334603e-05}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),1.0255704405103105e-07,3.7008579622527015e-06,0.7485828439821489,1485,2004,97994484600107.72,2.8528070139478133e-06,1.7946450680159235e-05,3.7895784700132088e-06,1.756071588400139e-05,True,1.4210854715202004e-14,2.065188298150389e-15,2.877640556040308e-06,2.3271300967073683e-06,2.2836308025822403,15.004035497307717,1.2492417823064792e-06,1.196108252568417e-06,223.33792771547692,ball,10000.0,q,Qratio-1
elasticity-2d,1,400,401,841,7,7,2.0,12808,5.210665604783716e-15,0.0,3.956052933092287e-06,"{""1e-05"": 0.19143251386283297, ""1e-06"": 0.018715080376580723, ""1e-08"": 0.00047636621431091985, ""1e-10"": 4.615723033980004e-05, ""1e-12"": 3.956052933092287e-06, ""1e-14"": 4.822004909176387e-05}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),3.661401710918487e-08,2.174720420641733e-06,0.1529389450151939,1141,2004,996771034661.3087,1.138321777910924e-06,3.7887967288639834e-06,1.924146912981323e-06,3.102510555130194e-06,True,1.4210854715202004e-14,2.701831813833877e-15,1.6201443168423262e-06,1.4507037259756615e-06,2.2836308025822403,15.004035497307717,4.984701452720617e-07,2.525185127390451e-07,34.816086383910175,ridge,1e-12,q,Qratio-1
elasticity-2d,1,400,401,841,7,7,2.0,12808,5.210665604783716e-15,0.0,4.759326362547262e-06,"{""1e-06"": 0.028164353859371077, ""1e-08"": 0.0004453977019642497, ""1e-10"": 4.3737005756291716e-05, ""1e-12"": 4.759326362547262e-06, ""1e-14"": 5.609194808334603e-05}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),3.037443818116933e-08,2.0700469121782462e-06,0.15818326297448948,1141,2004,996771034661.3087,9.428701885945049e-07,4.665030930933063e-06,1.7585544138561658e-06,4.1806003597502005e-06,False,7.105427357601002e-15,-1.83100062889352e-15,1.5237663861421827e-06,1.401153174739252e-06,2.2836308025822403,15.004035497307717,4.1288205936281124e-07,3.10918414700508e-07,35.93018437050854,tsvd,1e-12,q,Qratio-1
elasticity-2d,2,400,401,841,7,7,2.0,12808,3.860170997816622e-15,0.0,0.0001555230269003805,"{""100.0"": 2.0492649683002964, ""1000.0"": 0.0024379279989724173, ""10000.0"": 0.0001555230269003805, ""100000.0"": 0.0002128491152722216, ""1000000.0"": 0.0002128491152722216, ""inf"": 0.0002128491152722216}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),7.554679590908839e-08,6.423859322210868e-06,0.7449349960370455,1474,2004,97126386071758.83,2.512940603116805e-06,0.00015550272519498234,6.5045992361127135e-06,0.00015536998286179554,True,1.4210854715202004e-14,-4.3022009565962804e-14,6.235770520677758e-06,1.5430925458318152e-06,2.2836308025822403,15.004035497307717,1.1004145680095357e-06,1.0364060070564704e-05,223.38796791467206,ball,10000.0,q,Qratio-1
elasticity-2d,2,400,401,841,7,7,2.0,12808,3.860170997816622e-15,0.0,3.388536008684867e-05,"{""1e-05"": 0.3446069564443096, ""1e-06"": 0.024607460827200053, ""1e-08"": 0.0018599483434963524, ""1e-10"": 0.00020906202902908928, ""1e-12"": 3.388536008684867e-05, ""1e-14"": 0.00019936889655060172}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),2.6996061572937376e-08,2.0486041732736704e-06,0.17286200702073984,1143,2004,994687706741.038,6.376807161835649e-07,3.387936053663826e-05,1.4845246957396527e-06,3.381736671168777e-05,True,1.0658141036401503e-14,7.718652106358803e-15,1.363226883246976e-06,1.52918001672368e-06,2.2836308025822403,15.004035497307717,2.7923984711648686e-07,2.258016554460797e-06,33.98794648732793,ridge,1e-12,q,Qratio-1
elasticity-2d,2,400,401,841,7,7,2.0,12808,3.860170997816622e-15,0.0,3.39694864959321e-05,"{""1e-06"": 0.03023290526036114, ""1e-08"": 0.0009908715863197093, ""1e-10"": 0.00017763271301802683, ""1e-12"": 3.39694864959321e-05, ""1e-14"": 0.0002128491152722216}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),3.473978635681782e-08,2.773320000268303e-06,0.17879887300659902,1143,2004,994687706741.038,8.836690505523364e-07,3.3957992349472805e-05,2.4492720126144484e-06,3.384455555304229e-05,False,7.105427357601002e-15,-2.3392746073547244e-14,2.2943692068080143e-06,1.5579389483350578e-06,2.2836308025822403,15.004035497307717,3.869579310075508e-07,2.263257265391443e-06,35.21042961628082,tsvd,1e-12,q,Qratio-1
elasticity-2d,3,400,401,841,7,7,2.0,12808,4.7419109893595045e-15,0.0,2.6029139257486365e-05,"{""100.0"": 1.8976379180116272, ""1000.0"": 0.0006844248475625018, ""10000.0"": 2.6029139257486365e-05, ""100000.0"": 3.7578151004101765e-05, ""1000000.0"": 3.7578151004101765e-05, ""inf"": 3.7578151004101765e-05}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),4.010701417101753e-08,1.2566828760199403e-06,0.7519397699797992,1488,2004,97874202312966.53,1.0327277029341024e-06,2.634414065232462e-05,1.5115704226445636e-06,2.6314150088091026e-05,True,2.1316282072803006e-14,-7.703039595075012e-15,1.1243369114335804e-06,5.613540420000072e-07,2.2836308025822403,15.004035497307717,4.52230589010419e-07,1.7558036740883305e-06,223.3722237831068,ball,10000.0,q,Qratio-1
elasticity-2d,3,400,401,841,7,7,2.0,12808,4.7419109893595045e-15,0.0,5.253286471297315e-06,"{""1e-05"": 0.16718828281149756, ""1e-06"": 0.014993501783726446, ""1e-08"": 0.00038520978630023994, ""1e-10"": 2.8323737374140544e-05, ""1e-12"": 5.253286471297315e-06, ""1e-14"": 4.9141650472585906e-05}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),1.2849774263401554e-08,1.0386470206848628e-06,0.16655478198663332,1149,2004,995274411722.7982,4.6994619478329717e-07,5.231860190084312e-06,8.446438740658872e-07,5.1277259496790105e-06,True,1.0658141036401503e-14,-2.5814420046010866e-14,6.951138951584817e-07,7.717540452340661e-07,2.2836308025822403,15.004035497307717,2.0578904184157107e-07,3.4869686832073296e-07,34.895014300035115,ridge,1e-12,q,Qratio-1
elasticity-2d,3,400,401,841,7,7,2.0,12808,4.7419109893595045e-15,0.0,5.161755352147282e-06,"{""1e-06"": 0.01652160133776105, ""1e-08"": 0.0003420239081545323, ""1e-10"": 2.49645916997019e-05, ""1e-12"": 5.161755352147282e-06, ""1e-14"": 3.7578151004101765e-05}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),1.838290913136401e-08,1.3492967885755406e-06,0.1729812179983128,1149,2004,995274411722.7982,5.502447967105562e-07,5.13232571745936e-06,1.1005534345182651e-06,4.951784067024174e-06,False,1.4210854715202004e-14,-1.9843501841698696e-14,9.039619334585813e-07,1.0017258340075343e-06,2.2836308025822403,15.004035497307717,2.4095173181600145e-07,3.4206302153712517e-07,36.33171656376431,tsvd,1e-12,q,Qratio-1
elasticity-2d,4,400,401,841,7,7,2.0,12808,4.93305886333429e-15,0.0,1.0682091187294903e-05,"{""100.0"": 1.8925486499269846, ""1000.0"": 0.0005829476276564572, ""10000.0"": 1.0739784959365028e-05, ""100000.0"": 1.0682091187294903e-05, ""1000000.0"": 1.0682091187294903e-05, ""inf"": 1.0682091187294903e-05}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ball),3.784564317896601e-08,1.0118942427661945e-06,0.7614780919684563,1497,2004,97303561275032.52,1.4491117020701743e-06,1.0677340448499746e-05,1.5239138386412935e-06,1.0629283564503554e-05,False,9.237055564881302e-14,-8.348356728138384e-14,8.629143045958558e-07,5.284967941882155e-07,2.2836308025822403,15.004035497307717,6.345647906095747e-07,7.116312441686544e-07,560.8216442783794,ball,100000.0,q,Qratio-1
elasticity-2d,4,400,401,841,7,7,2.0,12808,4.93305886333429e-15,0.0,4.166081486958973e-06,"{""1e-05"": 0.17661453984745676, ""1e-06"": 0.013411730548106567, ""1e-08"": 0.0002999180159487804, ""1e-10"": 1.4986390393024121e-05, ""1e-12"": 4.166081486958973e-06, ""1e-14"": 6.124032217126811e-06}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(ridge),7.529030535785546e-09,7.64786653694224e-07,0.16934071498690173,1169,2004,998403540325.1455,4.4351020818142365e-07,4.142602625975653e-06,6.146333665270742e-07,4.071395079216897e-06,True,1.0658141036401503e-14,-3.963843142607004e-16,5.012620359761e-07,5.776114584717862e-07,2.2836308025822403,15.004035497307717,1.9421274563292792e-07,2.760992285521445e-07,35.88188655359331,ridge,1e-12,q,Qratio-1
elasticity-2d,4,400,401,841,7,7,2.0,12808,4.93305886333429e-15,0.0,3.9174290942678384e-06,"{""1e-06"": 0.014226844166008716, ""1e-08"": 0.0002820632604558503, ""1e-10"": 1.1249008635200648e-05, ""1e-12"": 3.9174290942678384e-06, ""1e-14"": 1.0682091187294903e-05}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,hu_zhang,0.3333333333333333,LS(tsvd),9.967367310523649e-09,6.668884740237125e-07,0.17441335498006083,1169,2004,998403540325.1455,7.30895743645174e-07,3.8486132715987e-06,7.257001478585335e-07,3.790393630949162e-06,False,3.552713678800501e-14,-3.1002977962657496e-14,4.4386199301341667e-07,4.97721576731242e-07,2.2836308025822403,15.004035497307717,3.200586289249145e-07,2.5650520970103575e-07,37.35919362064294,tsvd,1e-12,q,Qratio-1
