study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,u_l2_error_mean,u_l2_error_std,sigma_l2_error_mean,sigma_l2_error_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,u_h1_error_mean,u_h1_error_std,sigma_hdiv_error_mean,sigma_hdiv_error_std,constitutive_residual_mean,constitutive_residual_std,equilibrium_residual_mean,equilibrium_residual_std,coefficient_ball_active_mean,coefficient_ball_active_std,trace_residual_mean,trace_residual_std,continuous_trace_mean_mean,continuous_trace_mean_std,sigma_deviatoric_l2_error_mean,sigma_deviatoric_l2_error_std,sigma_hydrostatic_l2_error_mean,sigma_hydrostatic_l2_error_std,u_h1_exact_norm_mean,u_h1_exact_norm_std,sigma_hdiv_exact_norm_mean,sigma_hdiv_exact_norm_std,relative_u_h1_error_mean,relative_u_h1_error_std,relative_sigma_hdiv_error_mean,relative_sigma_hdiv_error_std,coefficient_norm_mean,coefficient_norm_std
q,elasticity-2d,Qratio-1,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,401,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 100000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,3.895091925361915e-05,4.3333026703718135e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,5.226843597269655e-08,3.068380255655744e-08,2.5739740127909657e-06,2.2155748917874167e-06,0.7531323748000431,0.012904180046779689,1485.9,12.087183294713455,2004.0,0.0,97979004969235.67,1018626653309.6332,1.6182768064255336e-06,7.860142848935676e-07,3.892279538909804e-05,4.3329197007162026e-05,2.7198256887449504e-06,2.0953843891411414e-06,3.8794250577101184e-05,4.3315692151537095e-05,0.9,0.31622776601683794,2.842170943040401e-14,2.7620936742992798e-14,-1.513494191085485e-14,2.853466385821772e-14,2.2459970201508997e-06,2.035477978426472e-06,1.181340537224338e-06,9.85627543762377e-07,2.2836308025822403,0.0,15.004035497307717,0.0,7.086420469524452e-07,3.441949915917991e-07,2.5941551122084615e-06,2.887836210127395e-06,257.1138324724782,106.71204987806716
q,elasticity-2d,Qratio-1,ridge,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,401,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,8.565068521288753e-06,9.217249214023263e-06,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,1.5250188331030992e-08,1.0278446082835863e-08,1.2532604948619371e-06,6.516252519933637e-07,0.16199110450106674,0.008465582816810176,1148.2,12.787146323989223,2004.0,0.0,993829704910.5935,3462488041.9317107,5.534467223989304e-07,2.4926052299900806e-07,8.529811396256947e-06,9.23172188974579e-06,1.0196868608233824e-06,5.17445267827121e-07,8.375248630138098e-06,9.271359554720825e-06,1.0,0.0,1.4210854715202004e-14,1.2754632448601209e-14,-9.436462028444836e-15,1.4545806056137708e-14,8.711043099391432e-07,4.730961098627426e-07,8.956116953368844e-07,4.599937514601776e-07,2.2836308025822403,0.0,15.004035497307717,0.0,2.423538523710201e-07,1.0915097252898937e-07,5.68501147427138e-07,6.152825945661288e-07,34.97566044846538,0.8523644836145716
q,elasticity-2d,Qratio-1,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,401,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,8.66488105289758e-06,9.214449560840562e-06,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,1.9296876228884364e-08,1.0430818022135268e-08,1.4289788501732853e-06,7.906593870200986e-07,0.16764845870202408,0.008287805921436759,1148.2,12.787146323989223,2004.0,0.0,993829704910.5935,3462488041.9317107,7.04587253701181e-07,2.509732016951623e-07,8.62082472827621e-06,9.227010526825635e-06,1.2390243108882413e-06,6.716162911658948e-07,8.45577479982305e-06,9.239879380668631e-06,0.0,0.0,1.3855583347321953e-14,1.1039485709736537e-14,-1.1404332339592926e-14,1.1343096160538271e-14,1.039566532931546e-06,6.54810507897698e-07,9.671827272790535e-07,4.744218334294231e-07,2.2836308025822403,0.0,15.004035497307717,0.0,3.085381633950905e-07,1.0990095308373475e-07,5.745670709605498e-07,6.149685881829128e-07,35.974934095999764,1.0276971251476004
q,elasticity-2d,Qratio-2,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,802,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 100000.0, 10000.0, 10000.0, 100000.0, 100000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,2.3368029508714683e-06,1.948574220534622e-06,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,2.7455765104830742e-09,1.1043673763153613e-09,1.7769932505913962e-07,1.0669404897500589e-07,0.9137405663030223,0.049409991433017955,1591.4,9.045563676312396,2004.0,0.0,98772536751439.02,1340408100939.6404,1.3424644910342948e-07,4.5623629874783066e-08,2.3181716141445392e-06,1.939338186161231e-06,1.829183167562846e-07,8.56412388365417e-08,2.308635170594721e-06,1.939997226168382e-06,0.7,0.4830458915396479,2.842170943040401e-14,1.8649396987323074e-14,-2.2758270962208726e-14,3.5624060970608076e-14,1.3754854071950558e-07,7.932249511644569e-08,1.0912339635354319e-07,7.696997329651748e-08,2.2836308025822403,0.0,15.004035497307717,0.0,5.8786406695700914e-08,1.997854899451945e-08,1.54503207791031e-07,1.2925443868146143e-07,333.23107438954463,183.70982756101384
q,elasticity-2d,Qratio-2,ridge,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,802,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.0150023848369922e-06,7.069712014129755e-07,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,1.8867056545365623e-09,6.32092825132401e-10,1.3670169776337186e-07,8.145231052689135e-08,0.30666803749627436,0.0229674995991234,1251.7,8.48593607748203,2004.0,0.0,994317384379.569,3130137663.8435693,9.73075405100534e-08,3.495164966735536e-08,1.0092648008411465e-06,7.078068925321866e-07,1.2996328938159618e-07,6.095109378936927e-08,9.98577308047523e-07,7.052910749009188e-07,1.0,0.0,1.2789769243681804e-14,7.527133799608382e-15,-7.73166253242863e-15,1.477003806463869e-14,9.754067233787967e-08,5.6211379780425166e-08,9.514759368121154e-08,6.006839189117572e-08,2.2836308025822403,0.0,15.004035497307717,0.0,4.261088981634941e-08,1.530529787382155e-08,6.72662232118983e-08,4.7174434681868996e-08,38.19968684231661,0.5861360332524823
q,elasticity-2d,Qratio-2,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,802,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-14, 1e-14, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.0434314862574443e-06,8.203443112087759e-07,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,2.887296757227568e-09,1.7440026449508356e-09,1.466543034900166e-07,1.0224379986687763e-07,0.31288147720333653,0.023345704097529403,1319.4,149.0549488536955,2004.0,0.0,20604216599950.133,41342074060544.78,1.392358560448512e-07,6.608252695092197e-08,1.0306157380726386e-06,8.22077270430843e-07,1.6350107016890347e-07,8.936700014618245e-08,1.0167692809471795e-06,8.20340758266581e-07,0.0,0.0,2.806643806252396e-14,2.8046693819445396e-14,-6.732375074092189e-15,2.111082517313296e-14,1.1058316740636427e-07,7.306632080386998e-08,9.525883434356482e-08,7.309201914091933e-08,2.2836308025822403,0.0,15.004035497307717,0.0,6.097126378196017e-08,2.8937482747298045e-08,6.868923618966175e-08,5.479041092500443e-08,136.9213051852215,205.2410787558777
q,elasticity-2d,Qratio-4,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.7994974633598816e-07,3.065218297831005e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.989404136790796e-10,9.613904509650034e-11,2.3081918724209727e-08,5.04811302582425e-09,1.2422781016066438,0.033023132933814515,1628.8,8.011103405759894,2004.0,0.0,98835966453881.17,1771856553528.1157,3.757245667758939e-08,6.800087909891431e-09,1.7595081001914097e-07,3.000259246338596e-08,3.636772506252817e-08,6.218131842460959e-09,1.7438880698823953e-07,2.984518330916009e-08,1.0,0.0,1.474376176702208e-14,1.0015390489613284e-14,-2.812446456279538e-14,2.2221896464646515e-14,1.7153412216532535e-08,3.793633759801023e-09,1.541556399026616e-08,3.4766550653274784e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.6452947050418102e-08,2.9777527532918877e-09,1.1726899076632623e-08,1.9996348628187087e-09,223.39215077178196,0.026435437877435145
q,elasticity-2d,Qratio-4,ridge,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.7264587334126982e-07,2.6279435882146397e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.860388841281631e-10,8.259855680291401e-11,3.014101629488322e-08,7.703324348470895e-09,0.6223913745023311,0.020545266367343898,1320.5,111.27668219353056,2004.0,0.0,10339153679203.402,29546823483287.16,3.6851530298629136e-08,6.0166578748025254e-09,1.686357611480397e-07,2.60532709291521e-08,3.86662143085758e-08,6.182979672104446e-09,1.6577812515345333e-07,2.5919551680306693e-08,1.0,0.0,1.9539925233402755e-14,1.0756374827627339e-14,-5.540273101400928e-15,1.465569543362679e-14,2.216516937636105e-08,6.071405143124072e-09,2.0384388942414585e-08,4.932222655965781e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.613725399786991e-08,2.6346894025072373e-09,1.1239360315982939e-08,1.7364175747136182e-09,87.19243887420133,151.55666939275645
q,elasticity-2d,Qratio-4,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-14, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.7935033395269514e-07,2.8279970264132487e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,7.828446097060087e-10,1.339368331583538e-10,3.2223873623119795e-08,8.025443040651892e-09,0.6285407348070293,0.02105931276892626,1354.3,144.88006534141726,2004.0,0.0,20202412951974.266,40510449530135.7,4.2376877304887504e-08,7.857050731496311e-09,1.742410337542745e-07,2.7437933120741763e-08,4.2432946633682126e-08,7.944330836963156e-09,1.711790721047424e-07,2.6643203844391486e-08,0.0,0.0,2.5934809855243656e-14,1.2538389581177423e-14,-1.3700585804743427e-14,1.459424742474212e-14,2.31340112546172e-08,5.921242485812604e-09,2.2345506867326346e-08,5.800942305921937e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.8556798785937464e-08,3.440595880302484e-09,1.1612944649827029e-08,1.8287035594967202e-09,130.93064384243863,192.71621038987692
q,elasticity-2d,Qratio-8,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,3208,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.269467076711757e-07,3.4137857847127915e-09,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,4.78363722617953e-10,2.531411753961539e-11,9.80311879179079e-09,1.898129422613937e-09,1.9289061319926986,0.03505492403758077,1655.1,6.740425308044985,2004.0,0.0,99050974342118.53,733151421287.3849,2.7569280671661032e-08,3.2913370538618145e-09,1.238902997781325e-07,3.0455550420902e-09,2.4555678264984723e-08,3.0684691081454915e-09,1.2348971723487356e-07,3.0000439828263416e-09,1.0,0.0,2.3447910280083305e-14,1.8589140296729152e-14,-2.8712188876456325e-14,1.507348398574991e-14,6.958109933705247e-09,1.0365707029671094e-09,6.878496569929638e-09,1.71519482805533e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.2072564724773714e-08,1.4412737164606902e-09,8.257131876311746e-09,2.0298239381243042e-10,223.38351591515115,0.021198221318020464
