model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,u_l2_error,sigma_l2_error,wall_time,rank,columns,condition_estimate,u_h1_error,sigma_hdiv_error,constitutive_residual,equilibrium_residual,coefficient_ball_active,trace_residual,continuous_trace_mean,sigma_deviatoric_l2_error,sigma_hydrostatic_l2_error,u_h1_exact_norm,sigma_hdiv_exact_norm,relative_u_h1_error,relative_sigma_hdiv_error,coefficient_norm,algorithm,hyperparameter,study,configuration
elasticity-3d,0,1000,16016,2197,7,7,2.0,16384,5.659233618710992e-14,0.0,3.110823553283005e-08,"{""inf"": 3.110823553283005e-08}",0.282979246645076,0.04886433897061523,100023,100031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.562851335505476e-11,4.1031042008358765e-09,171.14093362400308,7562,9008,9970325468315.496,1.7427255581786597e-09,3.112091691353984e-08,3.187302005327226e-09,3.084924643255542e-08,False,2.220446049250313e-14,-5.3262949606391885e-14,2.9635968077965063e-09,2.83770295199046e-09,2.484440469088451,17.339486087476107,7.014559535081439e-10,1.7948004200665283e-09,38.43418117244766,ball,inf,main,N-1000
elasticity-3d,1,1000,16016,2197,7,7,2.0,16384,9.280526890186826e-14,0.0,2.8209256163683684e-08,"{""inf"": 2.8209256163683684e-08}",0.282979246645076,0.04886433897061523,200023,200031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.578551396934617e-11,4.344877558281473e-09,170.3214648339781,7554,9008,9842817139420.402,1.8488338776897805e-09,2.823355649415846e-08,3.4297773763901086e-09,2.7897235549645047e-08,False,3.8191672047105385e-14,-3.93574062229618e-14,3.187768629903025e-09,2.9523028568668493e-09,2.484440469088451,17.339486087476107,7.441650949954633e-10,1.628281043147575e-09,38.689384140772965,ball,inf,main,N-1000
elasticity-3d,2,1000,16016,2197,7,7,2.0,16384,6.811481766273764e-14,0.0,3.522004950453739e-08,"{""inf"": 3.522004950453739e-08}",0.282979246645076,0.04886433897061523,300023,300031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.700162143868717e-11,4.241847846663979e-09,169.66330172301969,7546,9008,9971826469600.875,1.9838299432360413e-09,3.5235346975088753e-08,3.400275664936953e-09,3.497908522675584e-08,False,5.1514348342607263e-14,-9.700573677662305e-14,3.104511108553236e-09,2.8905508006463738e-09,2.484440469088451,17.339486087476107,7.985017020608728e-10,2.0320871562934263e-09,38.38107445476907,ball,inf,main,N-1000
elasticity-3d,3,1000,16016,2197,7,7,2.0,16384,6.827113475529666e-14,0.0,3.622271524606041e-08,"{""inf"": 3.622271524606041e-08}",0.282979246645076,0.04886433897061523,400023,400031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.8197983859224226e-11,4.00751225408902e-09,179.44342073099688,7552,9008,9988770723308.113,1.965125557623106e-09,3.6237223017227754e-08,3.178889032645227e-09,3.6014943808558514e-08,False,7.283063041541027e-14,-7.854827899222983e-15,2.8768063587393106e-09,2.7900071041111582e-09,2.484440469088451,17.339486087476107,7.909730911540483e-10,2.0898671872057976e-09,38.450205529256465,ball,inf,main,N-1000
elasticity-3d,4,1000,16016,2197,7,7,2.0,16384,8.364544199807605e-14,0.0,2.6175691486926627e-08,"{""inf"": 2.6175691486926627e-08}",0.282979246645076,0.04886433897061523,500023,500031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.535953330900439e-11,4.153039731771989e-09,180.3657163209864,7582,9008,9996041409890.922,1.7599954032136913e-09,2.6238731989099257e-08,3.238132340559176e-09,2.590797787134503e-08,False,3.552713678800501e-15,-5.281886039654182e-14,3.0172613617932625e-09,2.8537471661494862e-09,2.484440469088451,17.339486087476107,7.084071544927938e-10,1.5132358512084658e-09,38.231413084372015,ball,inf,main,N-1000
elasticity-3d,5,1000,16016,2197,7,7,2.0,16384,6.220449055047971e-14,0.0,4.3188211550392745e-08,"{""inf"": 4.3188211550392745e-08}",0.282979246645076,0.04886433897061523,600023,600031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.500838707905572e-11,4.265313175589499e-09,177.98085610300768,7586,9008,9966064648211.82,1.776636808726717e-09,4.319632795826644e-08,3.265756327102416e-09,4.298522830685273e-08,False,1.5987211554602254e-14,-7.360778653264788e-14,3.0206483780035083e-09,3.0114082855571336e-09,2.484440469088451,17.339486087476107,7.151054053545387e-10,2.4912115468904298e-09,38.0682591241341,ball,inf,main,N-1000
elasticity-3d,6,1000,16016,2197,7,7,2.0,16384,7.985696221469817e-14,0.0,2.9958208031799764e-08,"{""inf"": 2.9958208031799764e-08}",0.282979246645076,0.04886433897061523,700023,700031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.459543879320054e-11,4.343936016382651e-09,190.80583249099436,7547,9008,9964661828514.38,1.7433045663872215e-09,2.999007563404787e-08,3.3166104999951593e-09,2.9673807582133527e-08,False,4.529709940470639e-14,-7.8909101475233e-14,3.1004769041750207e-09,3.042502765997701e-09,2.484440469088451,17.339486087476107,7.016890072744812e-10,1.7295827271206717e-09,38.53651769703607,ball,inf,main,N-1000
elasticity-3d,7,1000,16016,2197,7,7,2.0,16384,9.272765473217701e-14,0.0,3.959042487529251e-08,"{""inf"": 3.959042487529251e-08}",0.282979246645076,0.04886433897061523,800023,800031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.30853295291346e-11,4.202286617589562e-09,179.82486646898906,7526,9008,9986238230576.549,1.720555993441685e-09,3.961774289948032e-08,3.249319466781136e-09,3.9394242468068236e-08,False,2.042810365310288e-14,-6.872280522429719e-14,3.0506288825973316e-09,2.8901342939447086e-09,2.484440469088451,17.339486087476107,6.925325902749291e-10,2.2848279758472923e-09,38.37805739971653,ball,inf,main,N-1000
elasticity-3d,8,1000,16016,2197,7,7,2.0,16384,6.536556915462595e-14,0.0,2.903114374197962e-08,"{""inf"": 2.903114374197962e-08}",0.282979246645076,0.04886433897061523,900023,900031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),3.443811066670074e-11,4.191667388829743e-09,179.35054859600496,7551,9008,9877903437690.945,1.8403077080538667e-09,2.9066965240367853e-08,3.2404889391936243e-09,2.876314295737123e-08,False,7.105427357601002e-15,-9.722778138154808e-14,2.9935394248478552e-09,2.9340751882765946e-09,2.484440469088451,17.339486087476107,7.407332680943977e-10,1.676345255777922e-09,38.494281427969085,ball,inf,main,N-1000
elasticity-3d,9,1000,16016,2197,7,7,2.0,16384,6.429616525032994e-14,0.0,4.0988138594300094e-08,"{""inf"": 4.0988138594300094e-08}",0.282979246645076,0.04886433897061523,1000023,1000031,direct,streaming_tsqr,1e-13,hu_zhang,0.3333333333333333,LS(ball),4.0258816997702073e-11,4.415186212711683e-09,178.00025603998802,7526,9008,9912016303744.12,2.2925042944162494e-09,4.098666396122656e-08,3.606747272394675e-09,4.074816257670508e-08,False,1.7763568394002505e-14,-8.237854842718662e-14,3.208382508440965e-09,3.0331750645898097e-09,2.484440469088451,17.339486087476107,9.227447076875932e-10,2.3637761669782265e-09,37.706749450378226,ball,inf,main,N-1000
