model,study,activation_power,lambda,dictionary_sizes,metric,observed_order
elasticity-2d,order,7,,201 401 601 801 1001,sigma_hdiv_error,4.3293
elasticity-2d,order,7,,201 401 601 801 1001,u_h1_error,4.0581
elasticity-2d,order-k3,3,,201 401 601 801 1001,sigma_hdiv_error,1.9224
elasticity-2d,order-k3,3,,201 401 601 801 1001,u_h1_error,1.5324
elasticity-3d,order,7,,201 401 601 801 1001,sigma_hdiv_error,1.5884
elasticity-3d,order,7,,201 401 601 801 1001,u_h1_error,1.3573
plane-stress,order,7,,201 401 601 801 1001,sigma_hdiv_error,4.3468
plane-stress,order,7,,201 401 601 801 1001,u_h1_error,4.0592
plate,order,7,,201 401 601 801 1001,M_hdivdiv_error,3.8807
plate,order,7,,201 401 601 801 1001,w_h2_error,3.8701
plate,order-k3,3,,201 401 601 801 1001,M_hdivdiv_error,1.2333
plate,order-k3,3,,201 401 601 801 1001,w_h2_error,1.2182
elasticity-2d,near-incompressible,7,10,201 401 601 801 1001,sigma_hdiv_error,4.4655
elasticity-2d,near-incompressible,7,10,201 401 601 801 1001,u_h1_error,4.4296
elasticity-2d,near-incompressible,7,1000,201 401 601 801 1001,sigma_hdiv_error,4.4653
elasticity-2d,near-incompressible,7,1000,201 401 601 801 1001,u_h1_error,4.4241
elasticity-2d,near-incompressible,7,100000,201 401 601 801 1001,sigma_hdiv_error,4.4653
elasticity-2d,near-incompressible,7,100000,201 401 601 801 1001,u_h1_error,4.4226
