model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,u_l2_error,sigma_l2_error,wall_time,rank,columns,condition_estimate,u_h1_error,sigma_hdiv_error,constitutive_residual,equilibrium_residual,coefficient_ball_active,trace_residual,continuous_trace_mean,sigma_deviatoric_l2_error,sigma_hydrostatic_l2_error,u_h1_exact_norm,sigma_hdiv_exact_norm,relative_u_h1_error,relative_sigma_hdiv_error,coefficient_norm,algorithm,hyperparameter,study,configuration
plane-stress,0,200,804,441,7,7,2.0,12808,2.853228578065441e-15,0.0,2.3710459941389587e-06,"{""100.0"": 0.7365685772203603, ""1000.0"": 1.383264674425585e-05, ""10000.0"": 2.3710459941389587e-06, ""100000.0"": 1.571706035566663e-05, ""1000000.0"": 1.838018432876458e-05, ""inf"": 1.838018432876458e-05}",0.24625689035747356,0.05114860741649987,100023,100031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.5364076982566225e-08,3.2920836873114834e-07,0.138998504015035,896,1005,96554440307947.23,5.517386988607848e-07,2.3059550610720926e-06,5.423449949672983e-07,2.282334461388465e-06,True,nan,-9.275213284920536e-09,2.410274537623173e-07,2.2424075583059766e-07,2.2836308025822403,11.476061856285488,2.416059103060356e-07,2.009360954959572e-07,315.4395092695572,ball,10000.0,main,N-200
plane-stress,1,200,804,441,7,7,2.0,12808,2.5146012305328393e-15,0.0,3.338239814735507e-06,"{""100.0"": 0.7286944532055678, ""1000.0"": 2.5911240731352356e-05, ""10000.0"": 3.338239814735507e-06, ""100000.0"": 1.8024898438833915e-05, ""1000000.0"": 2.5971863689651888e-05, ""inf"": 2.5971863689651888e-05}",0.24625689035747356,0.05114860741649987,200023,200031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.786905265417961e-08,8.902736580166557e-07,0.11941669999214355,889,1005,99867686302426.36,6.073768864230266e-07,3.2824906781939436e-06,8.849229376889006e-07,3.1594553116434136e-06,True,nan,-1.0805114511458491e-09,6.430252554496258e-07,6.157156056267379e-07,2.2836308025822403,11.476061856285488,2.659698256549301e-07,2.860293643673687e-07,315.4398402055072,ball,10000.0,main,N-200
plane-stress,2,200,804,441,7,7,2.0,12808,2.5877362950606062e-15,0.0,4.064135513674297e-06,"{""100.0"": 0.7369561322960121, ""1000.0"": 2.820156973502138e-05, ""10000.0"": 4.064135513674297e-06, ""100000.0"": 1.1488019790592907e-05, ""1000000.0"": 1.608330824798528e-05, ""inf"": 1.608330824798528e-05}",0.24625689035747356,0.05114860741649987,300023,300031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.6839711687087704e-08,6.822458722281036e-07,0.10208047500054818,879,1005,88027646849291.53,7.149781028113025e-07,4.000729403629751e-06,8.430020144552228e-07,3.9421284011172665e-06,True,nan,-4.9868073906389476e-08,5.329029744394562e-07,4.259974765252329e-07,2.2836308025822403,11.476061856285488,3.1308830744568397e-07,3.48615182954816e-07,315.4396698258513,ball,10000.0,main,N-200
plane-stress,3,200,804,441,7,7,2.0,12808,2.773228281554476e-15,0.0,2.995714812724058e-06,"{""100.0"": 0.7323493186786729, ""1000.0"": 1.4482379938125379e-05, ""10000.0"": 2.995714812724058e-06, ""100000.0"": 4.366234039593346e-06, ""1000000.0"": 4.366234039593346e-06, ""inf"": 4.366234039593346e-06}",0.24625689035747356,0.05114860741649987,400023,400031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),2.5064750461607627e-08,3.8077499868850137e-07,0.11277826900186483,881,1005,99464785181271.64,8.179078209748157e-07,2.881849590452957e-06,7.913508639828805e-07,2.8565831796689637e-06,True,nan,4.2561547397568233e-08,2.692209910765564e-07,2.692761734539188e-07,2.2836308025822403,11.476061856285488,3.581611441087402e-07,2.511183388990323e-07,315.4400944025988,ball,10000.0,main,N-200
plane-stress,4,200,804,441,7,7,2.0,12808,3.429804509623585e-15,0.0,2.5236168700977915e-06,"{""100.0"": 0.7360815685636888, ""1000.0"": 1.2758022497123336e-05, ""10000.0"": 2.5236168700977915e-06, ""100000.0"": 6.070336724582615e-06, ""1000000.0"": 8.544815825234704e-06, ""inf"": 8.544815825234704e-06}",0.24625689035747356,0.05114860741649987,500023,500031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.286354324311376e-08,3.7983236563796836e-07,0.11744802400062326,895,1005,96869504707843.34,6.255059600649142e-07,2.4448422615255007e-06,6.215009251499486e-07,2.4151565286239707e-06,True,nan,-1.8838638857210377e-08,2.595317577940304e-07,2.773371462362661e-07,2.2836308025822403,11.476061856285488,2.73908531693309e-07,2.130384353223445e-07,315.4396814194649,ball,10000.0,main,N-200
plane-stress,5,200,804,441,7,7,2.0,12808,2.308127003326951e-15,0.0,2.6257588586340753e-06,"{""100.0"": 0.732436843968628, ""1000.0"": 1.620652794731524e-05, ""10000.0"": 2.6257588586340753e-06, ""100000.0"": 1.3571071638747066e-05, ""1000000.0"": 1.668301233027821e-05, ""inf"": 1.668301233027821e-05}",0.24625689035747356,0.05114860741649987,600023,600031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.2634456880238965e-08,4.2120012528415326e-07,0.11512363801011816,896,1005,99132246932573.52,4.977919608897431e-07,2.5781127159765117e-06,5.448878480045388e-07,2.5434731433102254e-06,True,nan,2.1371396596858716e-08,3.1486995390074077e-07,2.797614299182997e-07,2.2836308025822403,11.476061856285488,2.1798267930475428e-07,2.246513436631982e-07,315.4401489866356,ball,10000.0,main,N-200
plane-stress,6,200,804,441,7,7,2.0,12808,2.6483417558268257e-15,0.0,2.6341611669081062e-06,"{""100.0"": 0.7298920253885984, ""1000.0"": 1.6789198424419197e-05, ""10000.0"": 2.6341611669081062e-06, ""100000.0"": 7.768287521569249e-06, ""1000000.0"": 7.768287521569249e-06, ""inf"": 7.768287521569249e-06}",0.24625689035747356,0.05114860741649987,700023,700031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.1728540631430042e-08,4.161346245752343e-07,0.12520311601110734,891,1005,98539474235848.89,5.247088108843555e-07,2.5813525001925145e-06,5.310857698261256e-07,2.547589587135215e-06,True,nan,-3.950534244179238e-08,2.7972606729668663e-07,3.080930915244624e-07,2.2836308025822403,11.476061856285488,2.297695451870045e-07,2.249336516758749e-07,315.4402384086022,ball,10000.0,main,N-200
plane-stress,7,200,804,441,7,7,2.0,12808,3.2474224990010652e-15,0.0,2.3885207697685904e-06,"{""100.0"": 0.7336219054615439, ""1000.0"": 1.3023954600013757e-05, ""10000.0"": 2.3885207697685904e-06, ""100000.0"": 4.55150077178518e-06, ""1000000.0"": 6.823292741241003e-06, ""inf"": 6.823292741241003e-06}",0.24625689035747356,0.05114860741649987,800023,800031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.5361460335209364e-08,2.955860133876905e-07,0.11935875099152327,906,1005,97904453286019.95,5.993424621852688e-07,2.312064951472083e-06,5.826036227926866e-07,2.29309250762266e-06,True,nan,-4.163713598903662e-08,2.3472530010656107e-07,1.796527895700837e-07,2.2836308025822403,11.476061856285488,2.624515580660218e-07,2.0146849855168349e-07,315.4408107743641,ball,10000.0,main,N-200
plane-stress,8,200,804,441,7,7,2.0,12808,2.906235456156355e-15,0.0,2.7749383188733593e-06,"{""100.0"": 0.7337237699362252, ""1000.0"": 1.755695063389342e-05, ""10000.0"": 2.7749383188733593e-06, ""100000.0"": 5.41396048832427e-06, ""1000000.0"": 5.41396048832427e-06, ""inf"": 5.41396048832427e-06}",0.24625689035747356,0.05114860741649987,900023,900031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),2.124833387360617e-08,7.789585823890131e-07,0.12095380898972508,889,1005,97188788357719.16,9.162270837724791e-07,2.619257725675672e-06,1.0402871706205328e-06,2.500746800544628e-06,True,nan,7.293463955004853e-08,5.909440579779494e-07,5.075052644239811e-07,2.2836308025822403,11.476061856285488,4.0121506626046796e-07,2.2823663365330272e-07,315.43898219534503,ball,10000.0,main,N-200
plane-stress,9,200,804,441,7,7,2.0,12808,3.394221839921828e-15,0.0,3.229925182019822e-06,"{""100.0"": 0.7400062409975026, ""1000.0"": 3.6269581387473925e-05, ""10000.0"": 3.229925182019822e-06, ""100000.0"": 6.192323171937063e-06, ""1000000.0"": 6.192323171937063e-06, ""inf"": 6.192323171937063e-06}",0.24625689035747356,0.05114860741649987,1000023,1000031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),1.267724891398876e-08,1.0230691971473593e-06,0.11080611099896487,894,1005,93202070767036.84,5.601157872675776e-07,3.1809633383653654e-06,9.019014095502318e-07,3.011952386388734e-06,True,nan,1.0077888171894367e-07,6.677402339848142e-07,7.751087420934229e-07,2.2836308025822403,11.476061856285488,2.452742302451958e-07,2.771824845666145e-07,315.44029376989863,ball,10000.0,main,N-200
plane-stress,0,400,1604,841,7,7,2.0,12808,3.990254977170365e-15,0.0,1.238777826820408e-07,"{""100.0"": 0.9958016748132555, ""1000.0"": 2.8713402388467564e-06, ""10000.0"": 1.238777826820408e-07, ""100000.0"": 1.3363570182368903e-07, ""1000000.0"": 1.3363570182368903e-07, ""inf"": 1.3363570182368903e-07}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),6.11756329152022e-10,2.528685979576076e-08,0.6351491729874397,1622,2005,99016880020007.92,3.192950843491469e-08,1.1978938682256416e-07,3.3807871878668936e-08,1.1709001629940722e-07,True,nan,1.278233761892178e-09,1.813564905773207e-08,1.7621677320426784e-08,2.2836308025822403,11.476061856285488,1.39819047802342e-08,1.0438196336224435e-08,223.37415941127358,ball,10000.0,main,N-400
plane-stress,1,400,1604,841,7,7,2.0,12808,4.863231993582277e-15,0.0,1.5205489045086462e-07,"{""100.0"": 0.9919234890240215, ""1000.0"": 3.0981092135260205e-06, ""10000.0"": 1.5205489045086462e-07, ""100000.0"": 1.653809239716267e-07, ""1000000.0"": 1.653809239716267e-07, ""inf"": 1.653809239716267e-07}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),7.191564998046161e-10,1.643575469483176e-08,0.6453660330007551,1621,2005,98887509445207.4,3.7747266333182e-08,1.4730978324263793e-07,3.5533685148801786e-08,1.4639002085731214e-07,True,nan,-1.355253118062727e-09,1.3599822038028696e-08,9.229240105373425e-09,2.2836308025822403,11.476061856285488,1.6529496050981124e-08,1.2836266054278518e-08,223.43952613818007,ball,10000.0,main,N-400
plane-stress,2,400,1604,841,7,7,2.0,12808,3.8326823434590424e-15,0.0,1.496902322918182e-07,"{""100.0"": 0.9898152961003982, ""1000.0"": 2.342167921399988e-06, ""10000.0"": 1.496902322918182e-07, ""100000.0"": 1.5038718690806926e-07, ""1000000.0"": 1.5038718690806926e-07, ""inf"": 1.5038718690806926e-07}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),7.992036308758163e-10,2.3506628726051662e-08,0.6832194920134498,1615,2005,98335901533713.12,4.750652524794256e-08,1.4188798903787205e-07,4.5652427365337167e-08,1.399272662462426e-07,True,nan,-2.3504206220215096e-09,1.808669331162895e-08,1.501443036267157e-08,2.2836308025822403,11.476061856285488,2.080306728838306e-08,1.2363822260173633e-08,223.3470359843541,ball,10000.0,main,N-400
plane-stress,3,400,1604,841,7,7,2.0,12808,4.8908172916909026e-15,0.0,1.5914852402131843e-07,"{""100.0"": 0.9955969771537982, ""1000.0"": 2.0127890256514318e-06, ""10000.0"": 1.5914852402131843e-07, ""100000.0"": 1.7272806962148617e-07, ""1000000.0"": 1.7272806962148617e-07, ""inf"": 1.7272806962148617e-07}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,default,0.3333333333333333,LS(ball),6.33774924173539e-10,2.6004737352033794e-08,0.6164986540097743,1612,2005,99407436426921.67,4.086599309628595e-08,1.5368645194747905e-07,4.09651489168981e-08,1.5147039033242282e-07,True,nan,1.2150799255650213e-09,2.068043179027233e-08,1.5765979377005263e-08,2.2836308025822403,11.476061856285488,1.7895183866882636e-08,1.33919156128724e-08,223.32635404672845,ball,10000.0,main,N-400
