model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,0,400,1604,441,7,7,1.0,2048,4.543081854633512e-15,0.0,0.0008192842643696145,"{""100.0"": 66.32393931580577, ""1000.0"": 28.272321282693316, ""10000.0"": 8.33722032771157, ""100000.0"": 0.0008192842643696145, ""1000000.0"": 0.000982206204274213, ""inf"": 0.0032683387455892266}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00011746572592562877,0.0008131221918270285,2.611144217825964e-07,5.3886972666822094e-06,0.7887552469910588,1320,1604,97967098244077.97,0.00010238647266048987,0.00081314004753168,True,2496.8808486367216,ball,100000.0,k,Kratio-1
plate,0,400,1604,441,7,7,1.0,2048,4.543081854633512e-15,0.0,0.0008268737741893463,"{""1e-05"": 22.552625092952077, ""1e-06"": 4.3779493878839615, ""1e-08"": 0.04587505849677412, ""1e-10"": 0.0009553537237877109, ""1e-12"": 0.0008268737741893463, ""1e-14"": 0.0027596255819274467}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00010017519789822158,0.0008217580932554175,1.913987567919061e-07,3.502953700086953e-06,0.43237501799012534,1027,1604,996381038118.956,9.511386178622948e-05,0.0008217655593387961,True,5261.426297645051,ridge,1e-12,k,Kratio-1
plate,0,400,1604,441,7,7,1.0,2048,4.543081854633512e-15,0.0,0.0008391126897158773,"{""1e-06"": 4.693480010698041, ""1e-08"": 0.03241335777160248, ""1e-10"": 0.001009852784481036, ""1e-12"": 0.0008391126897158773, ""1e-14"": 0.0032683387455892266}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00010360192217916701,0.0008339753950778641,1.946761747267794e-07,3.7292783985086854e-06,0.4357705850270577,1027,1604,996381038118.956,9.734838526535662e-05,0.0008339837331223272,False,4926.125927188527,tsvd,1e-12,k,Kratio-1
plate,1,400,1604,441,7,7,1.0,2048,2.5919196719338568e-15,0.0,0.0007705349157435698,"{""100.0"": 66.83660974153341, ""1000.0"": 28.518991860559854, ""10000.0"": 8.409884954107596, ""100000.0"": 0.0007705349157435698, ""1000000.0"": 0.0008503063311299017, ""inf"": 0.00924769132725541}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00012358291090120368,0.000764888648242625,7.233676071371595e-08,6.5456827719139834e-06,0.7762448790308554,1317,1604,98234461547023.73,9.944539726071846e-05,0.0007649166557039928,True,2496.8808441285587,ball,100000.0,k,Kratio-1
plate,1,400,1604,441,7,7,1.0,2048,2.5919196719338568e-15,0.0,0.0007773017246993298,"{""1e-05"": 23.316720563656297, ""1e-06"": 4.401201160297048, ""1e-08"": 0.05131887023928086, ""1e-10"": 0.0009926046926584968, ""1e-12"": 0.0007773017246993298, ""1e-14"": 0.006174401424212171}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0001025578613171999,0.0007727663251559875,8.4583315080126e-08,4.361263685635911e-06,0.43741890802630223,1023,1604,971414273787.9965,9.185205249640712e-05,0.0007727786318966286,True,4980.779773682514,ridge,1e-12,k,Kratio-1
plate,1,400,1604,441,7,7,1.0,2048,2.5919196719338568e-15,0.0,0.0007898481450455761,"{""1e-06"": 4.6915563762392685, ""1e-08"": 0.05422438615601802, ""1e-10"": 0.0010457600908860846, ""1e-12"": 0.0007898481450455761, ""1e-14"": 0.00924769132725541}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00010124278576055075,0.0007855138579800768,9.339384227012727e-08,4.082774268105908e-06,0.4400142640224658,1023,1604,971414273787.9965,9.16872157487866e-05,0.0007855244681895456,False,4582.311826828671,tsvd,1e-12,k,Kratio-1
plate,2,400,1604,441,7,7,1.0,2048,1.6471140002618258e-15,0.0,0.0007984351404313586,"{""100.0"": 66.26313373185342, ""1000.0"": 28.305029364715853, ""10000.0"": 8.372375650741263, ""100000.0"": 0.0007984351404313586, ""1000000.0"": 0.0009808286179092828, ""inf"": 0.0032178607654443614}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00012484827386450984,0.0007913417553894821,1.1658492977674863e-07,6.2662678637368e-06,0.7933737130078953,1311,1604,97583119234378.53,0.00010817361067513299,0.0007913665648331669,True,2496.8808433185163,ball,100000.0,k,Kratio-1
plate,2,400,1604,441,7,7,1.0,2048,1.6471140002618258e-15,0.0,0.0007688023521508897,"{""1e-05"": 22.885921622070214, ""1e-06"": 4.375861652591268, ""1e-08"": 0.046674304867705255, ""1e-10"": 0.0010104250700277114, ""1e-12"": 0.0007688023521508897, ""1e-14"": 0.0036171596343231678}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00011385503502285063,0.0007624164601506535,1.23043091707544e-07,5.1289281207092805e-06,0.45691641201847233,1026,1604,989508328559.4321,0.00010333699092000672,0.0007624337116184727,True,4862.296388748825,ridge,1e-12,k,Kratio-1
plate,2,400,1604,441,7,7,1.0,2048,1.6471140002618258e-15,0.0,0.0007856651974716731,"{""1e-06"": 4.710364278179531, ""1e-08"": 0.031643322323682506, ""1e-10"": 0.0013359310462257665, ""1e-12"": 0.0007856651974716731, ""1e-14"": 0.0032178607654443614}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00011803506874506582,0.0007789429478865988,1.0659528215778994e-07,5.105325186608795e-06,0.4596194240148179,1026,1604,989508328559.4321,0.00010833159052558162,0.0007789596782937648,False,4573.16677812454,tsvd,1e-12,k,Kratio-1
plate,3,400,1604,441,7,7,1.0,2048,3.694032636234688e-15,0.0,0.0007883427816732628,"{""100.0"": 66.56452243993364, ""1000.0"": 28.3456667703366, ""10000.0"": 8.371918893654074, ""100000.0"": 0.0007883427816732628, ""1000000.0"": 0.0009202802122659938, ""inf"": 0.0021015849094599233}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00012505815563094454,0.0007812684366872176,4.995725066570873e-07,6.339806386699496e-06,0.8111209009948652,1311,1604,99136675710671.81,0.00011003903160186607,0.000781294159269548,True,2496.8808540162345,ball,100000.0,k,Kratio-1
