model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,0,200,804,441,3,7,2.0,2048,4.02620556554187e-15,0.0,2.381235245986762,"{""100.0"": 77.18851902319058, ""1000.0"": 56.14117892216059, ""10000.0"": 2.381235245986762, ""100000.0"": 2.909848848596848, ""1000000.0"": 8.814449657018878, ""inf"": 3561.967693071528}",0.23481480787577474,0.046247351138635595,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.3703012380864023,2.400656316157759,0.0018548419820435575,0.013037218412441603,0.19493978502578102,793,804,427416658656.73663,0.3682079995784055,2.400691716437593,True,352.6728079292479,ball,10000.0,main,N-200
plate,0,200,804,441,3,7,2.0,2048,4.02620556554187e-15,0.0,2.333762998927621,"{""1e-05"": 2.333762998927621, ""1e-06"": 2.521441110215779, ""1e-08"": 6.507155166834023, ""1e-10"": 70.20369696003706, ""1e-12"": 3194.2323029726163, ""1e-14"": 109933.19146207569}",0.23481480787577474,0.046247351138635595,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.4221088849948446,2.3346993795381827,0.0018507580490167228,0.02104226673159706,0.1081546230125241,387,804,99476.55643526632,0.37940574205647587,2.334794202880669,True,220.62057846984976,ridge,1e-05,main,N-200
plate,0,200,804,441,3,7,2.0,2048,4.02620556554187e-15,0.0,2.481675002084005,"{""1e-06"": 2.481675002084005, ""1e-08"": 9.080054731889687, ""1e-10"": 85.96223428232362, ""1e-12"": 3561.967693071528, ""1e-14"": 3561.967693071528}",0.23481480787577474,0.046247351138635595,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.3784622651423609,2.501534816431264,0.0018533032098348146,0.012644617552370783,0.10871586500434205,546,804,992259.5030829639,0.37111276816690064,2.5015667738780913,False,523.1146548705678,tsvd,1e-06,main,N-200
plate,1,200,804,441,3,7,2.0,2048,2.4754282910712995e-15,0.0,2.5338954352007836,"{""100.0"": 77.26747280709904, ""1000.0"": 56.461413397549784, ""10000.0"": 2.5338954352007836, ""100000.0"": 2.572786829498378, ""1000000.0"": 42.363994202024905, ""inf"": 18114.829703767133}",0.23481480787577474,0.046247351138635595,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.37046717857340217,2.5422764543019407,0.0005058593666838132,0.010768867612672975,0.19883424398722127,794,804,1745195660299.2266,0.366456028609124,2.542299262204925,True,352.6728079294002,ball,10000.0,main,N-200
plate,1,200,804,441,3,7,2.0,2048,2.4754282910712995e-15,0.0,2.46310116640823,"{""1e-05"": 2.46310116640823, ""1e-06"": 2.5424519900496474, ""1e-08"": 3.929966656650853, ""1e-10"": 163.17414904395258, ""1e-12"": 6537.64172703146, ""1e-14"": 100974.97019803416}",0.23481480787577474,0.046247351138635595,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.4252261184854234,2.4476212999814764,0.000534299751227363,0.019642004093587538,0.11285993998171762,387,804,99371.76257340041,0.3732187728916705,2.4477001116247523,True,226.0693404226786,ridge,1e-05,main,N-200
plate,1,200,804,441,3,7,2.0,2048,2.4754282910712995e-15,0.0,2.542843409080207,"{""1e-06"": 2.542843409080207, ""1e-08"": 2.759526680739105, ""1e-10"": 53.22215217523151, ""1e-12"": 3757.193479004065, ""1e-14"": 18114.829703767133}",0.23481480787577474,0.046247351138635595,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.37845865535357986,2.552864636700211,0.0004993479763133685,0.011276238083091212,0.11349833899294026,545,804,983518.4509599321,0.36996017710506574,2.552889540669515,False,465.3573129626247,tsvd,1e-06,main,N-200
plate,2,200,804,441,3,7,2.0,2048,2.4889762570928045e-15,0.0,2.5367881470982496,"{""100.0"": 77.23153353779644, ""1000.0"": 56.12782572861322, ""10000.0"": 2.5367881470982496, ""100000.0"": 6.087634332855632, ""1000000.0"": 27.85422245688315, ""inf"": 10232.799949886235}",0.23481480787577474,0.046247351138635595,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.39926698963702084,2.5439929590342203,0.0006489789027237938,0.014102495681702106,0.16880961498827673,769,804,489267237505.7693,0.3776561338816398,2.54403204696799,True,352.6728079293565,ball,10000.0,main,N-200
plate,2,200,804,441,3,7,2.0,2048,2.4889762570928045e-15,0.0,2.354499276851531,"{""1e-05"": 2.354499276851531, ""1e-06"": 2.574327823923057, ""1e-08"": 8.939533484335792, ""1e-10"": 327.7367839060661, ""1e-12"": 9826.609873837171, ""1e-14"": 1055697.9678363085}",0.23481480787577474,0.046247351138635595,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.4562217909903524,2.342372323600502,0.0008145852934898278,0.021165849177372166,0.09978172898991033,380,804,97603.98689954782,0.3865159035046486,2.3424679497361356,True,227.94697943324135,ridge,1e-05,main,N-200
plate,2,200,804,441,3,7,2.0,2048,2.4889762570928045e-15,0.0,2.5902007956505306,"{""1e-06"": 2.5902007956505306, ""1e-08"": 7.047415304724028, ""1e-10"": 168.02640823093355, ""1e-12"": 10232.799949886235, ""1e-14"": 10232.799949886235}",0.23481480787577474,0.046247351138635595,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.40876420654108936,2.5974588061234045,0.0006574268575531897,0.014420033909367408,0.10069212998496369,538,804,991953.7730409213,0.38186673468424726,2.597498832894053,False,444.02287783506455,tsvd,1e-06,main,N-200
plate,3,200,804,441,3,7,2.0,2048,3.897635762480771e-15,0.0,2.354051748831313,"{""100.0"": 77.1937673053469, ""1000.0"": 56.56674871900224, ""10000.0"": 2.354051748831313, ""100000.0"": 2.599574747386329, ""1000000.0"": 27.088679946033572, ""inf"": 1485.4072535248913}",0.23481480787577474,0.046247351138635595,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.39597513226171965,2.35339406086179,0.0010969332942184474,0.012149414228199346,0.16814857700956054,779,804,218556962323.7897,0.3840168483791118,2.353425421373202,True,352.6728079293559,ball,10000.0,main,N-200
