model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,0,200,804,441,7,7,2.0,2048,4.544033245083917e-15,0.0,0.014220455500601019,"{""100.0"": 65.07078538056116, ""1000.0"": 28.153715862354073, ""10000.0"": 8.735983913507084, ""100000.0"": 0.014220455500601019, ""1000000.0"": 0.014645943107443658, ""inf"": 0.047652667515388665}",0.24625689035747356,0.05114860741649987,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0026412001501336627,0.014037205855715206,4.84069343590454e-06,0.00011699688936803872,0.1799042840139009,717,804,97191362539299.11,0.0022815319602926152,0.014037693418359266,True,3526.728079307927,ball,100000.0,main,N-200
plate,0,200,804,441,7,7,2.0,2048,4.544033245083917e-15,0.0,0.014405366018111173,"{""1e-05"": 25.673326911047727, ""1e-06"": 5.013643653221068, ""1e-08"": 0.11746721978202507, ""1e-10"": 0.014405366018111173, ""1e-12"": 0.017746714710486004, ""1e-14"": 0.07101520627412619}",0.24625689035747356,0.05114860741649987,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0028613479555756383,0.014209122371543143,4.601912014696763e-06,0.00013824805131349934,0.09277952101547271,460,804,9906571752.301952,0.002371903450693006,0.014209794899757695,True,3062.3811412075574,ridge,1e-10,main,N-200
plate,0,200,804,441,7,7,2.0,2048,4.544033245083917e-15,0.0,0.014973986910827335,"{""1e-06"": 5.357857231194805, ""1e-08"": 0.09584815351416169, ""1e-10"": 0.014973986910827335, ""1e-12"": 0.020219934034227994, ""1e-14"": 0.047652667515388665}",0.24625689035747356,0.05114860741649987,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.0032738134425850506,0.01478755276609642,5.404714035689928e-06,0.0001710753973851792,0.09333084500394762,460,804,9906571752.301952,0.0023543814543113377,0.014788542308208622,False,3189.154825542334,tsvd,1e-10,main,N-200
plate,1,200,804,441,7,7,2.0,2048,2.592185967431623e-15,0.0,0.014092259036515037,"{""100.0"": 65.64035338746316, ""1000.0"": 28.42887689085024, ""10000.0"": 8.857798629950311, ""100000.0"": 0.014092259036515037, ""1000000.0"": 0.016834099638229155, ""inf"": 0.09520265044604899}",0.24625689035747356,0.05114860741649987,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0033945261844114,0.013933644400639957,5.663428465566647e-06,0.0001970222544004242,0.18397135101258755,714,804,78045904369446.98,0.002108347896280156,0.013935037282053258,True,3526.7280792375177,ball,100000.0,main,N-200
plate,1,200,804,441,7,7,2.0,2048,2.592185967431623e-15,0.0,0.01424174103136725,"{""1e-05"": 26.443696320974365, ""1e-06"": 5.074416834867572, ""1e-08"": 0.12617177435053908, ""1e-10"": 0.01424174103136725, ""1e-12"": 0.019495703603907837, ""1e-14"": 0.1713535662803899}",0.24625689035747356,0.05114860741649987,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0037901664955590575,0.01407743779448162,5.500159869193209e-06,0.00023569577346305712,0.09118693601340055,458,804,9900636061.572336,0.002150769063840786,0.014079410760224587,True,3114.659535854435,ridge,1e-10,main,N-200
plate,1,200,804,441,7,7,2.0,2048,2.592185967431623e-15,0.0,0.01464700827799473,"{""1e-06"": 5.279183922927342, ""1e-08"": 0.09598072310993373, ""1e-10"": 0.01464700827799473, ""1e-12"": 0.018014028159076236, ""1e-14"": 0.09520265044604899}",0.24625689035747356,0.05114860741649987,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00339493910131524,0.01445062435353138,7.4815900573759195e-06,0.00023125190189763795,0.09159999201074243,458,804,9900636061.572336,0.002381276796820348,0.014452474585655063,False,3270.1677485743276,tsvd,1e-10,main,N-200
plate,2,200,804,441,7,7,2.0,2048,1.8956267036905723e-15,0.0,0.015226491996981555,"{""100.0"": 64.92034535983267, ""1000.0"": 28.965111552384432, ""10000.0"": 8.918117065706326, ""100000.0"": 0.015226491996981555, ""1000000.0"": 0.01888000421413033, ""inf"": 0.7266929134528269}",0.24625689035747356,0.05114860741649987,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.003397989682382555,0.015035903682194447,3.042485465089173e-06,0.00020814045234250918,0.18016715298290364,708,804,96317811837512.77,0.0023998592243942235,0.015037344246512742,True,3526.7280792435263,ball,100000.0,main,N-200
plate,2,200,804,441,7,7,2.0,2048,1.8956267036905723e-15,0.0,0.01554825911063854,"{""1e-05"": 27.67806312540768, ""1e-06"": 5.138482250764879, ""1e-08"": 0.13493897187060888, ""1e-10"": 0.01554825911063854, ""1e-12"": 0.01915496014218732, ""1e-14"": 0.47497811543919927}",0.24625689035747356,0.05114860741649987,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.003425405351736623,0.015360378503699187,3.2044578661212755e-06,0.00021342906395088854,0.0942486279818695,457,804,9993705769.233042,0.0024058863360050327,0.015361861206971082,True,3120.4114242424453,ridge,1e-10,main,N-200
plate,2,200,804,441,7,7,2.0,2048,1.8956267036905723e-15,0.0,0.016295333228449723,"{""1e-06"": 5.7007122558206635, ""1e-08"": 0.09933435882911443, ""1e-10"": 0.016295333228449723, ""1e-12"": 0.019970369930184594, ""1e-14"": 0.7266929134528269}",0.24625689035747356,0.05114860741649987,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.008333841104223614,0.015887386387355713,3.649444038329362e-06,0.0005541328722825854,0.09472212998662144,457,804,9993705769.233042,0.003584894530701963,0.015897047193151305,False,3343.746907582384,tsvd,1e-10,main,N-200
plate,3,200,804,441,7,7,2.0,2048,3.694263991912448e-15,0.0,0.015357596544079286,"{""100.0"": 65.37745912582099, ""1000.0"": 28.029940043165784, ""10000.0"": 8.768727465426313, ""100000.0"": 0.015357596544079286, ""1000000.0"": 0.01604044063679928, ""inf"": 1.7697632259757758}",0.24625689035747356,0.05114860741649987,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0032119015100864796,0.015130808650908453,7.67011174562045e-06,0.00015434048107590116,0.16457773596630432,708,804,98943054961595.31,0.002630510321494574,0.015131595798675856,True,3526.7280792914644,ball,100000.0,main,N-200
