study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,r_c_mean,r_c_std,r_e_mean,r_e_std,abs_u_mean,abs_u_std,abs_M_mean,abs_M_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,w_h2_error_mean,w_h2_error_std,M_hdivdiv_error_mean,M_hdivdiv_error_std,coefficient_ball_active_mean,coefficient_ball_active_std,coefficient_norm_mean,coefficient_norm_std
order,plate,N-200,ball,direct,streaming_tsqr,1e-14,trig,7,7,200,804,441,0.3,10,"[100000.0, 100000.0, 100000.0, 100000.0, 1000000.0, 100000.0, 100000.0, 100000.0, 1000000.0, 100000.0]",2.0,0.0,2048.0,0.0,2.6820091405214277e-15,8.917953438290451e-16,0.0,0.0,0.014611136486660611,0.000626647193962838,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,0.0028025943365083223,0.00044207607348067674,0.014447286340715368,0.0006157204481670567,6.090685256535596e-06,2.59267916567208e-06,0.00014780915200021148,3.785796782656543e-05,0.16844814099313227,0.015027522130770491,714.5,4.478342947514801,804.0,0.0,90521341807686.52,9147839470812.328,0.0021820737994175596,0.0002154208708094932,0.01444808067905055,0.0006158871235859572,1.0,0.0,9874.838879083505,13382.992644341552
order,plate,N-200,ridge,direct,streaming_tsqr,1e-14,trig,7,7,200,804,441,0.3,10,"[1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10]",2.0,0.0,2048.0,0.0,2.6820091405214277e-15,8.917953438290451e-16,0.0,0.0,0.014920049617936373,0.000716643182120347,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,0.0029764800156916946,0.00048351344467212896,0.01474961897770365,0.0007132389985919959,5.846335074774137e-06,2.7486990033681365e-06,0.00016266679135398793,4.4385249116092734e-05,0.09054502349463292,0.009090877504628355,458.9,1.9119507199599983,804.0,0.0,9905862733.547726,107147980.891747,0.0022440036712479765,0.0001761603036335414,0.014750573355900975,0.0007133006784859796,1.0,0.0,3080.9847656544052,90.30506768961742
order,plate,N-200,tsvd,direct,streaming_tsqr,1e-14,trig,7,7,200,804,441,0.3,10,"[1e-10, 1e-10, 1e-10, 1e-10, 1e-12, 1e-12, 1e-10, 1e-10, 1e-12, 1e-10]",2.0,0.0,2048.0,0.0,2.6820091405214277e-15,8.917953438290451e-16,0.0,0.0,0.015072901355607213,0.000885349621483914,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,0.003902664876378366,0.0017066991977233341,0.0148615115541661,0.0008367868191786145,6.574822650253074e-06,2.627500705554027e-06,0.0002341934744865131,0.00012675848855626557,0.09118568219710141,0.009049399827887378,512.4,86.91656279955443,804.0,0.0,296322833527.36676,461310674489.34894,0.0024835757775608586,0.0004884872414190351,0.014863761467275785,0.0008383974181516797,0.0,0.0,10574.705223493977,11920.117036829794
order,plate,N-400,ball,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,841,0.3,10,"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",2.0,0.0,3364.0,0.0,3.636145263334217e-15,1.352180246036575e-15,0.0,0.0,0.0007971906698187075,5.6052591787765755e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00012581335063801492,7.1858341250028925e-06,0.0007894651181374493,5.6616614302295265e-05,2.452679188485915e-07,1.2655241726092634e-07,5.574930385804148e-06,9.241287102695834e-07,0.799676300896681,0.03369219043707768,1323.4,4.7422451316743315,1604.0,0.0,98006158941277.78,1516083771333.4402,0.00011260169581885425,4.496541220030551e-06,0.0007894852623449584,5.6617024046863205e-05,1.0,0.0,2496.8808487775896,6.195928688781343e-06
order,plate,N-400,ridge,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,841,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,3364.0,0.0,3.636145263334217e-15,1.352180246036575e-15,0.0,0.0,0.0007978025053453255,5.4512208933999e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00011756788064299118,9.054479903287668e-06,0.0007907431643791721,5.477628724085218e-05,2.424127789669206e-07,1.1426182943362685e-07,4.241701040055018e-06,8.976742855570737e-07,0.4455123306950554,0.027252195339809653,1031.5,3.4721111093332766,1604.0,0.0,991860286549.5935,7889976746.010024,0.0001105071662160281,7.144958878431674e-06,0.000790754983787931,5.477653970007523e-05,1.0,0.0,5005.453084632143,270.95381207045074
order,plate,N-400,tsvd,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,841,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,3364.0,0.0,3.636145263334217e-15,1.352180246036575e-15,0.0,0.0,0.0008081828905114029,4.5287227392388815e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.0001194015773693001,9.626496155174002e-06,0.0008010907167528213,4.526484187286621e-05,2.4471944105921165e-07,1.1697220512579092e-07,4.31500284146261e-06,8.968340389221528e-07,0.4486782321968349,0.027250112761712155,1031.5,3.4721111093332766,1604.0,0.0,991860286549.5935,7889976746.010024,0.00011199573194672574,7.577447316031204e-06,0.0008011027379023226,4.5265859607868096e-05,0.0,0.0,5047.242038870498,398.00495341962124
order,plate,N-600,ball,direct,streaming_tsqr,1e-14,trig,7,7,600,2404,1225,0.3,10,"[1000000.0, 1000000.0, 1000000.0, 100000.0, 1000000.0, 100000.0, 100000.0, 1000000.0, 100000.0, 1000000.0]",2.0,0.0,4900.0,0.0,3.2183064800295782e-15,9.813585513217367e-16,0.0,0.0,0.00026081089673865625,1.700052931980747e-05,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,5.1381530664924934e-05,1.5822162246928524e-05,0.0002596799303309633,1.5870822606862932e-05,6.404217501764526e-08,3.9071278045222085e-08,2.557543687725338e-06,1.006802865353301e-06,2.2550746638007695,0.05898956601186132,1841.2,5.808040403899867,2404.0,0.0,99546323871095.9,508653954450.19635,4.228771013375708e-05,1.1089409413087835e-05,0.00025969392384524284,1.5877312964490787e-05,1.0,0.0,13053.211109241354,9479.056668954578
order,plate,N-600,ridge,direct,streaming_tsqr,1e-14,trig,7,7,600,2404,1225,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,4900.0,0.0,3.2183064800295782e-15,9.813585513217367e-16,0.0,0.0,0.00023455693394418948,1.932846991517232e-05,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,3.910913948636794e-05,4.03815756438306e-06,0.00023495104390966375,1.8899496175211347e-05,6.036021029117468e-08,3.705192088395254e-08,1.5564773261341768e-06,3.104679929569652e-07,1.1876152898010333,0.031228580505519785,1380.8,2.3475755815545347,2404.0,0.0,995965633964.3223,2723503090.8128467,3.516735715999354e-05,3.288644241981098e-06,0.00023495642575653818,1.8898920106309873e-05,1.0,0.0,3808.6056076140276,116.78647604340289
order,plate,N-600,tsvd,direct,streaming_tsqr,1e-14,trig,7,7,600,2404,1225,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,4900.0,0.0,3.2183064800295782e-15,9.813585513217367e-16,0.0,0.0,0.00024235659447149628,2.117381248018208e-05,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,4.1505630489839783e-05,4.376081608022177e-06,0.0002424335867310575,2.0652634136884233e-05,6.528534514614668e-08,3.9675451293695854e-08,1.7594473299694858e-06,3.0694897026015654e-07,1.2044879507040605,0.03129650669180348,1380.8,2.3475755815545347,2404.0,0.0,995965633964.3223,2723503090.8128467,3.646073410755766e-05,3.5362918107040716e-06,0.0002424401998809828,2.065193224420597e-05,0.0,0.0,4209.605283024012,152.80411229908566
order,plate,N-800,ball,direct,streaming_tsqr,1e-14,trig,7,7,800,3204,1681,0.3,10,"[100000.0, 100000.0, 1000000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",2.0,0.0,6724.0,0.0,3.695884450015819e-15,5.050402936343686e-16,0.0,0.0,7.825602034422364e-05,5.182238158470271e-06,0.11613758025047934,0.0,0.02273987924736201,0.0,1.5184129406979678e-05,1.6878437393387186e-06,7.920466268075258e-05,4.9163292165125514e-06,1.5191017154690407e-08,1.0829356934679456e-08,7.867698515475662e-07,1.364629868467109e-07,6.2557576562976465,0.23070558621304457,2323.8,7.146094504459527,3204.0,0.0,99629524536200.66,288683283315.2592,1.2539444397054433e-05,1.1368186300707748e-06,7.92086662931608e-05,4.9165033679681175e-06,1.0,0.0,3357.035724852176,5029.199669089596
