model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,0,1000,8008,2025,3,10,2.0,12808,2.5065565247101327e-14,0.0,0.24641668113325543,"{""100.0"": 77.03382233623387, ""1000.0"": 55.39451933561629, ""10000.0"": 0.24641668113325543, ""100000.0"": 0.3447364389122843, ""1000000.0"": 1.026196864399367, ""inf"": 1103.7106361440428}",0.1056228430272371,0.01775358374693883,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.05088035694163084,0.3095978328607154,2.4340972271721586e-05,0.0009563170504638469,9.836432331008837,3872,4004,82338362544474.9,0.050115206409268434,0.3095993098415313,True,158.0348853102331,ball,10000.0,activation,k-3
plate,0,1000,8008,2025,3,10,2.0,12808,2.5065565247101327e-14,0.0,0.24579556248799933,"{""1e-05"": 0.25421571424829814, ""1e-06"": 0.24579556248799933, ""1e-08"": 0.3880919110926907, ""1e-10"": 1.063971487460244, ""1e-12"": 64.75870466728767, ""1e-14"": 2566.062332041434}",0.1056228430272371,0.01775358374693883,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.05322963171209469,0.30891316760008886,2.5234490181872583e-05,0.0016241164244543901,9.634836826997343,1931,4004,999457.6052722817,0.050741657353777836,0.30891743698095253,True,134.20609771104557,ridge,1e-06,activation,k-3
plate,0,1000,8008,2025,3,10,2.0,12808,2.5065565247101327e-14,0.0,0.24660831066887873,"{""1e-06"": 0.24660831066887873, ""1e-08"": 0.25438419211058766, ""1e-10"": 1.2362682274071966, ""1e-12"": 39.214880748759924, ""1e-14"": 1103.7106361440428}",0.1056228430272371,0.01775358374693883,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.05395104346157145,0.30983058422736826,2.341459553611594e-05,0.0015461124423728255,9.678330184993683,1931,4004,999457.6052722817,0.05127872538743647,0.3098344418981802,False,143.6392229469663,tsvd,1e-06,activation,k-3
plate,1,1000,8008,2025,3,10,2.0,12808,2.5486758287177183e-14,0.0,0.25514223402404423,"{""100.0"": 77.03198635832703, ""1000.0"": 55.55842929454737, ""10000.0"": 0.25514223402404423, ""100000.0"": 0.26530083452440906, ""1000000.0"": 0.27554215258502074, ""inf"": 1818.6298379556738}",0.1056228430272371,0.01775358374693883,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.050384388385900016,0.3103502665673801,2.861299700680936e-05,0.0009603252185485832,10.183927502977895,3892,4004,70799261254604.06,0.04958078986224045,0.3103517523439641,True,158.0348853102862,ball,10000.0,activation,k-3
plate,1,1000,8008,2025,3,10,2.0,12808,2.5486758287177183e-14,0.0,0.2527714274020873,"{""1e-05"": 0.25605334563667637, ""1e-06"": 0.2527714274020873, ""1e-08"": 0.2649140309788494, ""1e-10"": 0.5079607546249053, ""1e-12"": 99.83654872697454, ""1e-14"": 1521.5135066264745}",0.1056228430272371,0.01775358374693883,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.052949817148645,0.3089934252528908,2.7619201379102363e-05,0.0017081245690103437,9.987979551995522,1931,4004,998864.5277243512,0.05018379802676484,0.3089981464977696,True,134.4003979592066,ridge,1e-06,activation,k-3
plate,1,1000,8008,2025,3,10,2.0,12808,2.5486758287177183e-14,0.0,0.25554418383933053,"{""1e-06"": 0.25554418383933053, ""1e-08"": 0.2656320686598069, ""1e-10"": 0.27396031680682975, ""1e-12"": 67.5402519795975, ""1e-14"": 1818.6298379556738}",0.1056228430272371,0.01775358374693883,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.05331868956361867,0.30999109238355954,2.771636295724537e-05,0.0016057876075911766,10.029764387989417,1931,4004,998864.5277243512,0.05039238881587517,0.30999525143297474,False,144.35934726769554,tsvd,1e-06,activation,k-3
plate,2,1000,8008,2025,3,10,2.0,12808,2.6883562980702664e-14,0.0,0.2595925583242868,"{""100.0"": 77.00226321889737, ""1000.0"": 55.41779339426374, ""10000.0"": 0.2595925583242868, ""100000.0"": 0.297696282936412, ""1000000.0"": 0.3274250044331345, ""inf"": 2146.2737745786885}",0.1056228430272371,0.01775358374693883,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0520415261890044,0.30955799886985835,4.992117475619767e-05,0.0009644774375176208,9.635209808009677,3876,4004,57611118435135.71,0.05124385925820126,0.30955950135804056,True,158.0348853102617,ball,10000.0,activation,k-3
plate,2,1000,8008,2025,3,10,2.0,12808,2.6883562980702664e-14,0.0,0.256879143139814,"{""1e-05"": 0.256879143139814, ""1e-06"": 0.2582863024242862, ""1e-08"": 0.29167840360805025, ""1e-10"": 1.4306340865250435, ""1e-12"": 87.99828298051956, ""1e-14"": 2943.537824185373}",0.1056228430272371,0.01775358374693883,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.1220085647192742,0.31743202021884176,7.113990615691598e-05,0.009856803150758658,9.438834428001428,932,4004,99848.72444659978,0.06944130490129856,0.3175850185833204,True,90.18133263120964,ridge,1e-05,activation,k-3
plate,2,1000,8008,2025,3,10,2.0,12808,2.6883562980702664e-14,0.0,0.2607492763498567,"{""1e-06"": 0.2607492763498567, ""1e-08"": 0.31604698414287785, ""1e-10"": 1.890090099330488, ""1e-12"": 92.86824797217365, ""1e-14"": 2146.2737745786885}",0.1056228430272371,0.01775358374693883,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.055139562958669244,0.3100313001614989,5.298419527422255e-05,0.0015989734044902636,9.477984566008672,1926,4004,999253.6584112748,0.05240281780153284,0.3100354234531559,False,144.14347782207898,tsvd,1e-06,activation,k-3
plate,3,1000,8008,2025,3,10,2.0,12808,3.303964771772862e-14,0.0,0.25400464703258013,"{""100.0"": 77.00013808670819, ""1000.0"": 55.36114190908079, ""10000.0"": 0.25400464703258013, ""100000.0"": 0.2809565399037858, ""1000000.0"": 0.4667681813863198, ""inf"": 1361.834240083889}",0.1056228430272371,0.01775358374693883,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.050389033199182316,0.30890422424986486,5.202131701093117e-05,0.0009618144440951722,9.904246182006318,3884,4004,90228326084800.78,0.04962098369791696,0.30890572161492197,True,158.03488531028688,ball,10000.0,activation,k-3
plate,3,1000,8008,2025,3,10,2.0,12808,3.303964771772862e-14,0.0,0.2528715195142675,"{""1e-05"": 0.2549794273421566, ""1e-06"": 0.2528715195142675, ""1e-08"": 0.2856244957082323, ""1e-10"": 0.9701637639885144, ""1e-12"": 49.52383352390409, ""1e-14"": 1843.347392033219}",0.1056228430272371,0.01775358374693883,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.05326200941175129,0.30822181343778504,5.2189131675410265e-05,0.0017282297737445116,9.720804238997516,1922,4004,994444.7731031129,0.0504177875246415,0.3082266585761647,True,132.484569649668,ridge,1e-06,activation,k-3
plate,3,1000,8008,2025,3,10,2.0,12808,3.303964771772862e-14,0.0,0.25519505492500244,"{""1e-06"": 0.25519505492500244, ""1e-08"": 0.2849344165858644, ""1e-10"": 0.5402470378548346, ""1e-12"": 46.377409070228715, ""1e-14"": 1361.834240083889}",0.1056228430272371,0.01775358374693883,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.05383482719286335,0.3091894314258381,5.1378232326054874e-05,0.0016259053764843684,9.766842066004756,1922,4004,994444.7731031129,0.05091340381365529,0.30919370639410876,False,142.55509285169725,tsvd,1e-06,activation,k-3
plate,4,1000,8008,2025,3,10,2.0,12808,3.4919852627668425e-14,0.0,0.25308061261246007,"{""100.0"": 77.0207743977489, ""1000.0"": 55.427847316853146, ""10000.0"": 0.25308061261246007, ""100000.0"": 0.26501571747225655, ""1000000.0"": 0.29481145738799786, ""inf"": 3796.334696187655}",0.1056228430272371,0.01775358374693883,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.04971690969286212,0.3094867528917852,5.006020883331606e-05,0.0009019855452520541,9.724160500991275,3892,4004,79827570761490.22,0.0490453123554983,0.3094880672876173,True,158.03488531032704,ball,10000.0,activation,k-3
plate,4,1000,8008,2025,3,10,2.0,12808,3.4919852627668425e-14,0.0,0.2515200479745821,"{""1e-05"": 0.2562410496967037, ""1e-06"": 0.2515200479745821, ""1e-08"": 0.26481330208255777, ""1e-10"": 0.6843616266426018, ""1e-12"": 36.62576881032277, ""1e-14"": 2759.086538341509}",0.1056228430272371,0.01775358374693883,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.05238726382915134,0.30858353831512825,4.961452085938182e-05,0.0016390843367964662,9.536176492998493,1931,4004,993326.2891745225,0.04977042984975384,0.30858789139651505,True,134.1320729788209,ridge,1e-06,activation,k-3
plate,4,1000,8008,2025,3,10,2.0,12808,3.4919852627668425e-14,0.0,0.2540784387240136,"{""1e-06"": 0.2540784387240136, ""1e-08"": 0.26786732003635016, ""1e-10"": 0.3333935018496245, ""1e-12"": 43.23912905690243, ""1e-14"": 3796.334696187655}",0.1056228430272371,0.01775358374693883,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.053091451798358405,0.3100872671197859,4.481312546678152e-05,0.0015690144261284096,9.577751870994689,1931,4004,993326.2891745225,0.05022903404605139,0.3100912366321997,False,145.58378443439022,tsvd,1e-06,activation,k-3
plate,5,1000,8008,2025,3,10,2.0,12808,2.295877169914278e-14,0.0,0.25360322080195485,"{""100.0"": 77.02044662251242, ""1000.0"": 55.39294640279451, ""10000.0"": 0.25360322080195485, ""100000.0"": 0.2638306180787474, ""1000000.0"": 0.2991596804052721, ""inf"": 1669.3286058582232}",0.1056228430272371,0.01775358374693883,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0506621578300988,0.31258483678567167,2.7557359636197806e-05,0.0010117114526255848,9.7003277180047,3872,4004,44775778617878.05,0.0497593767729321,0.312586474033008,True,158.03488531026946,ball,10000.0,activation,k-3
plate,5,1000,8008,2025,3,10,2.0,12808,2.295877169914278e-14,0.0,0.25201188970377036,"{""1e-05"": 0.2570780510805245, ""1e-06"": 0.25201188970377036, ""1e-08"": 0.26381582174011725, ""1e-10"": 0.755006952679092, ""1e-12"": 79.8041277600108, ""1e-14"": 2090.798851817078}",0.1056228430272371,0.01775358374693883,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0535329715697616,0.31123478337024946,2.9086770135525484e-05,0.0017245275055688106,9.53270235400123,1926,4004,994581.7975908906,0.05072035638793184,0.3112395610693531,True,135.5698685983033,ridge,1e-06,activation,k-3
