study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,r_c_mean,r_c_std,r_e_mean,r_e_std,abs_u_mean,abs_u_std,abs_M_mean,abs_M_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,w_h2_error_mean,w_h2_error_std,M_hdivdiv_error_mean,M_hdivdiv_error_std,coefficient_ball_active_mean,coefficient_ball_active_std,coefficient_norm_mean,coefficient_norm_std
power,plate,k-3,ball,direct,streaming_tsqr,1e-14,trig,3,10,1000,8008,2025,0.3,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,2.771159241072559e-14,4.225596494649692e-15,0.0,0.0,0.2561021410730286,0.005024491185692598,0.1056228430272371,0.0,0.01775358374693883,0.0,0.05087392938657598,0.0007590139639065605,0.3107664379281111,0.0015287633454485216,3.88354233911673e-05,1.7530677003565628e-05,0.000993180071769431,7.273077331236337e-05,9.764996803397661,0.19826455906858625,3883.8,8.256983576208553,4004.0,0.0,81326977341335.27,18486796971261.81,0.05003324351904842,0.0007199936514042231,0.31076803199870673,0.0015289078349056682,1.0,0.0,158.0348853102802,2.5017658017419748e-11
power,plate,k-3,ridge,direct,streaming_tsqr,1e-14,trig,3,10,1000,8008,2025,0.3,10,"[1e-06, 1e-06, 1e-05, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-05, 1e-06]",2.0,0.0,12808.0,0.0,2.771159241072559e-14,4.225596494649692e-15,0.0,0.0,0.2538906444432074,0.003878972229370158,0.1056228430272371,0.0,0.01775358374693883,0.0,0.06684806384877534,0.028568327675859016,0.31147239233068247,0.0038917964654192117,4.886039126563746e-05,2.330808611562658e-05,0.003338516646035388,0.0034275959238195697,9.586852752197592,0.1911332692363373,1728.0,421.12178233327654,4004.0,0.0,817197.0773826774,378049.25652462017,0.05414103511899552,0.0076339961533363945,0.3115065971311993,0.003949945924498748,1.0,0.0,125.80433443745581,18.808745954182942
power,plate,k-3,tsvd,direct,streaming_tsqr,1e-14,trig,3,10,1000,8008,2025,0.3,10,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]",2.0,0.0,12808.0,0.0,2.771159241072559e-14,4.225596494649692e-15,0.0,0.0,0.2568028951034542,0.004995237660620592,0.1056228430272371,0.0,0.01775358374693883,0.0,0.05407802994704254,0.0008232693896712948,0.31101577266327574,0.0014618500863546068,3.876923959986887e-05,1.860489331600877e-05,0.0016120483241140395,5.434237486612085e-05,9.63043382299511,0.19362511514585937,1926.6,4.168666186896928,4004.0,0.0,996448.3861487985,2513.8177229987773,0.05121125440619321,0.0008539203929511578,0.3110199540091031,0.0014620063082828759,0.0,0.0,145.43380758069057,1.7862434118891357
power,plate,k-5,ball,direct,streaming_tsqr,1e-14,trig,5,10,1000,8008,2025,0.3,10,"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",2.0,0.0,12808.0,0.0,2.6756923459226872e-14,5.2598724876005056e-15,0.0,0.0,0.0022120534034162664,0.00026927583828259186,0.1056228430272371,0.0,0.01775358374693883,0.0,0.00034764025327564164,2.691831566509865e-06,0.002604752768108883,0.0002382353725302272,3.2073993538549716e-07,1.9019374677976362e-07,4.81079864902496e-06,4.016997879585939e-07,9.977030930599721,0.22290365731200495,3787.3,5.250396810400778,4004.0,0.0,97616685531103.84,2935740037029.3457,0.00034558586503554626,2.501500023096221e-06,0.0026047572333523436,0.00023823543614523717,1.0,0.0,1580.3488531108626,3.093894005330483e-08
power,plate,k-5,ridge,direct,streaming_tsqr,1e-14,trig,5,10,1000,8008,2025,0.3,10,"[1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10]",2.0,0.0,12808.0,0.0,2.6756923459226872e-14,5.2598724876005056e-15,0.0,0.0,0.0020922072136032306,0.00014880813668859225,0.1056228430272371,0.0,0.01775358374693883,0.0,0.00034880871643464076,2.5745642475867845e-06,0.002507779069536054,0.00012868623064222963,3.2339780227047336e-07,1.9365582257658733e-07,4.967277456107189e-06,4.0222746366895177e-07,9.795214706998376,0.21922640110493335,2383.7,3.3349995835415367,4004.0,0.0,9971918592.144152,21717457.418663185,0.00034614853893595983,2.43049871294113e-06,0.002507784002265201,0.00012868657186541142,1.0,0.0,1179.1605349222696,37.475364297078784
power,plate,k-5,tsvd,direct,streaming_tsqr,1e-14,trig,5,10,1000,8008,2025,0.3,10,"[1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-08, 1e-10, 1e-10]",2.0,0.0,12808.0,0.0,2.6756923459226872e-14,5.2598724876005056e-15,0.0,0.0,0.002173394299807418,0.0002084645187072357,0.1056228430272371,0.0,0.01775358374693883,0.0,0.00041410366476866213,0.00019949913853462088,0.0025808957663828276,0.00020261375726461834,3.0505043909857976e-07,1.5041764689980244e-07,1.1535809815651463e-05,1.974560739966954e-05,9.844142252900928,0.22103602072010028,2241.0,451.86625356526804,4004.0,0.0,8988263160.630497,3123237538.9178224,0.0003683197663887414,6.61428177572022e-05,0.0025809764547359802,0.00020279867745409444,0.0,0.0,1208.6251312869495,264.4004083481087
power,plate,k-7,ball,direct,streaming_tsqr,1e-14,trig,7,10,1000,8008,2025,0.3,10,"[1000000.0, 100000.0, 100000.0, 1000000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",2.0,0.0,12808.0,0.0,2.4134550804839354e-14,7.0172950945905685e-15,0.0,0.0,1.5486239496423192e-05,2.4287381837651857e-07,0.10828699980290782,1.4628472785736255e-17,0.018031849056421297,0.0,3.1435020315093128e-06,1.4605407624516331e-07,1.922429470489386e-05,1.0255742796940836e-07,2.7392123458292793e-09,1.4725249325607887e-09,9.454835568933217e-08,2.3353910546103006e-08,9.891505026801315,0.21499954270155003,2781.4,4.060651288757616,4004.0,0.0,99499183253081.16,444970893438.3016,2.977461251087009e-06,8.169092778774316e-08,1.922453960715412e-05,1.0263350757186379e-07,0.8,0.42163702135578396,2567.4388806916495,2088.235847555971
power,plate,k-7,ridge,direct,streaming_tsqr,1e-14,trig,7,10,1000,8008,2025,0.3,10,"[1e-14, 1e-12, 1e-12, 1e-14, 1e-14, 1e-12, 1e-12, 1e-12, 1e-14, 1e-14]",2.0,0.0,12808.0,0.0,2.4134550804839354e-14,7.0172950945905685e-15,0.0,0.0,1.6976186535513884e-05,1.1207994780143218e-06,0.10828699980290782,1.4628472785736255e-17,0.018031849056421297,0.0,3.8041814318417687e-06,9.767779598978404e-07,2.0487930719236593e-05,9.190868092050106e-07,2.9212903254174893e-09,1.6409962060852727e-09,1.6104157969387288e-07,1.1524423785816134e-07,9.774653780198424,0.2174047385259384,2261.8,548.3556834350817,4004.0,0.0,50286406857534.22,51955022723582.164,3.2691419489779735e-06,4.596574293129752e-07,2.0488827850162707e-05,9.197671749586748e-07,1.0,0.0,3829.6822350514835,2985.1156024597085
power,plate,k-7,tsvd,direct,streaming_tsqr,1e-14,trig,7,10,1000,8008,2025,0.3,10,"[1e-14, 1e-14, 1e-14, 1e-14, 1e-14, 1e-12, 1e-14, 1e-12, 1e-14, 1e-12]",2.0,0.0,12808.0,0.0,2.4134550804839354e-14,7.0172950945905685e-15,0.0,0.0,1.6824925269123662e-05,1.5145666650230829e-06,0.10828699980290782,1.4628472785736255e-17,0.018031849056421297,0.0,3.525880876208605e-06,9.069029961703948e-07,2.0370362758974772e-05,1.3438370440647922e-06,3.1111626956065425e-09,1.8119846925857848e-09,1.2706401092132543e-07,1.0375518490373971e-07,9.832154071198602,0.2185483679851145,2469.5,502.03967306711263,4004.0,0.0,69954161195015.77,47585032609181.516,3.138998387250332e-06,4.115385586086055e-07,2.037095379327723e-05,1.3445621231537013e-06,0.0,0.0,4989.731870299945,2767.1517118092956
power,plate,k-9,ball,direct,streaming_tsqr,1e-14,trig,9,10,1000,8008,2025,0.3,10,"[1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0]",2.0,0.0,12808.0,0.0,2.7039724279736527e-14,7.206253747728686e-15,0.0,0.0,3.232492134065503e-06,1.3077374632723314e-07,0.11112591259923546,0.0,0.019677373778513467,3.657118196434064e-18,1.339031969750001e-06,1.1460829249436994e-07,3.048564882879273e-06,1.2329422099380612e-07,3.855540477391971e-10,8.803295981866041e-11,7.875692566170173e-08,7.101232150085403e-09,9.812201518396614,0.1534927951726494,1338.3,2.9078437983419185,4004.0,0.0,99589331793567.33,487311526468.5057,8.575817650215732e-07,8.360835383188412e-08,3.0495862819210248e-06,1.23381570608174e-07,0.0,0.0,2187.658283276881,25.1069158379095
