model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,0,400,401,841,7,7,2.0,3364,5.900793522345558e-15,0.0,0.011312888080939157,"{""100.0"": 68.01343292287552, ""1000.0"": 29.89719569712251, ""10000.0"": 9.548386432724525, ""100000.0"": 0.011312888080939157, ""1000000.0"": 0.19741163179221544, ""inf"": 1.5211839934404943}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00261996842468697,0.011239063374515895,1.6222663660445096e-06,0.00015480180027656578,0.4648984470113646,1170,1604,98431552113303.73,0.0012823555329258046,0.011240129409119518,True,2496.880859241783,ball,100000.0,q,Qratio-1
plate,0,400,401,841,7,7,2.0,3364,5.900793522345558e-15,0.0,0.005941246751021814,"{""1e-05"": 28.49807542154555, ""1e-06"": 4.881186811448212, ""1e-08"": 0.15296706873575866, ""1e-10"": 0.005941246751021814, ""1e-12"": 0.058895465896425046, ""1e-14"": 0.9822890242584172}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.006872666722293072,0.005687433937549194,2.573415098656e-06,0.0005252153648787536,0.12431254601688124,555,1604,9727595426.206089,0.0016346788041672006,0.005711633389275878,True,1408.8409402557536,ridge,1e-10,q,Qratio-1
plate,0,400,401,841,7,7,2.0,3364,5.900793522345558e-15,0.0,0.006015195650673515,"{""1e-06"": 5.671475791150417, ""1e-08"": 0.13276161566901995, ""1e-10"": 0.006015195650673515, ""1e-12"": 0.07629864635800868, ""1e-14"": 1.5211839934404943}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.006497800346890325,0.005753282595160127,1.8159065140050483e-06,0.00047561465705820447,0.12562147199059837,555,1604,9727595426.206089,0.0016894792325800154,0.0057729082724204996,False,1428.1385362770386,tsvd,1e-10,q,Qratio-1
plate,1,400,401,841,7,7,2.0,3364,5.525414034298001e-15,0.0,0.009429755548923573,"{""100.0"": 67.77935791952467, ""1000.0"": 28.968187748062977, ""10000.0"": 8.75622006475252, ""100000.0"": 0.009429755548923573, ""1000000.0"": 0.05679444764746677, ""inf"": 1.775488055718495}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0021850500776074483,0.009370178228325874,2.8424102859252933e-06,0.00017377669050405598,0.4496885469998233,1189,1604,99516280910892.05,0.0010430498679675525,0.009371789496609212,True,2496.8808489359963,ball,100000.0,q,Qratio-1
plate,1,400,401,841,7,7,2.0,3364,5.525414034298001e-15,0.0,0.008053736702228224,"{""1e-05"": 24.68411675488811, ""1e-06"": 4.761544029921165, ""1e-08"": 0.15754592660245564, ""1e-10"": 0.008053736702228224, ""1e-12"": 0.010554070206399993, ""1e-14"": 0.3883000977442054}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.005493952079906904,0.007877371099046076,2.7798554990621547e-06,0.00045035792915379245,0.10284225299255922,560,1604,9958349776.198694,0.0016153082081487473,0.007890234324558307,True,1408.6018939539392,ridge,1e-10,q,Qratio-1
plate,1,400,401,841,7,7,2.0,3364,5.525414034298001e-15,0.0,0.0069702347041452105,"{""1e-06"": 5.152875420313603, ""1e-08"": 0.14494760463988526, ""1e-10"": 0.0069702347041452105, ""1e-12"": 0.02176928481294053, ""1e-14"": 1.775488055718495}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.005175286107290487,0.0067353668087236605,2.3912021269471696e-06,0.00042737678535076547,0.104027656983817,560,1604,9958349776.198694,0.0017433462747895017,0.00674891228011693,False,1425.166967047887,tsvd,1e-10,q,Qratio-1
plate,2,400,401,841,7,7,2.0,3364,2.5343654785253313e-15,0.0,0.014542584490660761,"{""100.0"": 69.5771190579828, ""1000.0"": 31.308678748134188, ""10000.0"": 12.959680028970732, ""100000.0"": 0.014542584490660761, ""1000000.0"": 0.07063609229793465, ""inf"": 1.6702384523941711}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0068116819080580975,0.014495210865163574,2.5834100770720547e-06,0.0004784043736100988,0.4625222329632379,1172,1604,98940078123008.06,0.0010684528896237923,0.014503103418587534,True,2496.8808380021633,ball,100000.0,q,Qratio-1
plate,2,400,401,841,7,7,2.0,3364,2.5343654785253313e-15,0.0,0.022171812858298313,"{""1e-05"": 34.93178439107206, ""1e-06"": 5.132951998089068, ""1e-08"": 0.795140585193618, ""1e-10"": 0.07797159385516811, ""1e-12"": 0.022171812858298313, ""1e-14"": 1.8865156723706697}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.005058306032034694,0.022150522857606273,2.2213656459396935e-06,0.0003452720780589813,0.10600284399697557,945,1604,998587834854.3125,0.0009012769269788724,0.022153213664685877,True,5974.825448028351,ridge,1e-12,q,Qratio-1
plate,2,400,401,841,7,7,2.0,3364,2.5343654785253313e-15,0.0,0.03189778767827583,"{""1e-06"": 7.630563948535169, ""1e-08"": 0.6784650584617752, ""1e-10"": 0.05181388988698192, ""1e-12"": 0.03189778767827583, ""1e-14"": 1.6702384523941711}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.005693591753756133,0.03187656904461978,2.1020229259931914e-06,0.00038715172359728053,0.10881551797501743,945,1604,998587834854.3125,0.0010903865041491957,0.03187892000230711,False,6339.680431006988,tsvd,1e-12,q,Qratio-1
plate,3,400,401,841,7,7,2.0,3364,2.5371889883540105e-15,0.0,0.01756991085306738,"{""100.0"": 66.94662863195019, ""1000.0"": 28.671694419603703, ""10000.0"": 8.69268831276146, ""100000.0"": 0.01756991085306738, ""1000000.0"": 0.0642990600685895, ""inf"": 0.22663420207679053}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00131115587693889,0.017560848490430638,8.28150000784673e-07,8.837639838586197e-05,0.4488026770122815,1185,1604,98175607168045.84,0.0005662350868387481,0.017561070869729203,True,2496.880841972852,ball,100000.0,q,Qratio-1
